bus0,bus1,voltage,s_nom,r,x,b,length,type
way/88760627-220,way/86512030-220,220,983.112,0.239248,1.200228,6.26e-05,7974.94,Al/St 240/40 2-bundle 220.0
ES273-220,way/77654729-220,220,983.112,0.113241,0.568094,2.97e-05,3774.71,Al/St 240/40 2-bundle 220.0
way/33771314-400,way/77640470-400,400,1787.476,0.67406,5.527293,9.74e-05,22468.67,Al/St 240/40 4-bundle 380.0
way/97937366-400,way/327268322-400,400,1787.476,1.788806,14.668208,0.00025851,59626.86,Al/St 240/40 4-bundle 380.0
way/782365013-220,way/75902880-220,220,983.112,2.644896,13.268562,0.00069243,88163.2,Al/St 240/40 2-bundle 220.0
ES363-220,ES365-220,220,491.556,2.433241,12.20676,0.00015926,40554.02,Al/St 240/40 2-bundle 220.0
way/143483666-400,way/103158873-400,400,3574.953,1.000056,8.20046,0.00057809,66670.41,Al/St 240/40 4-bundle 380.0
way/47842260-400,way/60063660-400,400,1787.476,1.93628,15.877494,0.00027982,64542.66,Al/St 240/40 4-bundle 380.0
way/144313407-220,ES129-220,220,983.112,0.045076,0.226132,1.18e-05,1502.54,Al/St 240/40 2-bundle 220.0
way/1031589976-220,way/398913918-220,220,491.556,0.686046,3.441664,4.49e-05,11434.1,Al/St 240/40 2-bundle 220.0
way/264348139-220,way/506058990-220,220,983.112,0.068035,0.34131,1.78e-05,2267.84,Al/St 240/40 2-bundle 220.0
ES127-220,relation/17805735-220,220,983.112,0.18988,0.952564,4.97e-05,6329.33,Al/St 240/40 2-bundle 220.0
ES98-220,way/419408372-220,220,983.112,0.366823,1.840227,9.6e-05,12227.42,Al/St 240/40 2-bundle 220.0
ES248-220,ES252-220,220,983.112,0.393978,1.976456,0.00010314,13132.6,Al/St 240/40 2-bundle 220.0
ES248-220,way/91441017-220,220,491.556,2.176193,10.917234,0.00014243,36269.88,Al/St 240/40 2-bundle 220.0
ES285-220,way/991952490-220,220,491.556,4.391409,22.030235,0.00028742,73190.15,Al/St 240/40 2-bundle 220.0
way/144767090-400,way/170424447-400,400,3574.953,1.784353,14.631691,0.00103145,118956.84,Al/St 240/40 4-bundle 380.0
way/651711449-220,way/991952490-220,220,983.112,0.694068,3.481909,0.00018171,23135.61,Al/St 240/40 2-bundle 220.0
way/196207063-220,ES36-220,220,983.112,0.058274,0.292343,1.53e-05,1942.48,Al/St 240/40 2-bundle 220.0
way/144327157-220,way/47367769-220,220,491.556,4.527311,22.712009,0.00029631,75455.18,Al/St 240/40 2-bundle 220.0
ES97-400,way/1272548315-400,400,3574.953,0.053568,0.43926,3.1e-05,3571.22,Al/St 240/40 4-bundle 380.0
ES297-220,way/1032009212-220,220,491.556,0.140267,0.703675,9.18e-06,2337.79,Al/St 240/40 2-bundle 220.0
way/144767090-400,way/651711449-400,400,3574.953,0.987683,8.098998,0.00057093,65845.51,Al/St 240/40 4-bundle 380.0
way/845179231-400,ES321-400,400,3574.953,0.021312,0.174757,1.23e-05,1420.79,Al/St 240/40 4-bundle 380.0
way/85817084-220,way/61046626-220,220,983.112,0.792692,3.976674,0.00020753,26423.08,Al/St 240/40 2-bundle 220.0
way/144327157-400,way/85817084-400,400,1787.476,5.836037,47.855507,0.00084338,194534.58,Al/St 240/40 4-bundle 380.0
ES132-400,ES128-400,400,1787.476,0.446366,3.6602,6.45e-05,14878.86,Al/St 240/40 4-bundle 380.0
ES128-400,way/85817084-400,400,1787.476,0.763917,6.264119,0.0001104,25463.9,Al/St 240/40 4-bundle 380.0
ES59-220,ES60-220,220,491.556,0.225917,1.133349,1.48e-05,3765.28,Al/St 240/40 2-bundle 220.0
ES60-220,ES62-220,220,491.556,0.203051,1.018638,1.33e-05,3384.18,Al/St 240/40 2-bundle 220.0
way/86512030-400,way/181906370-400,400,1787.476,1.735213,14.228751,0.00025076,57840.45,Al/St 240/40 4-bundle 380.0
way/86512030-400,way/88760627-400,400,3574.953,0.123231,1.010494,7.12e-05,8215.4,Al/St 240/40 4-bundle 380.0
way/729485840-220,way/144926472-220,220,983.112,0.406908,2.041322,0.00010653,13563.6,Al/St 240/40 2-bundle 220.0
way/729485840-400,ES330-400,400,1787.476,0.065646,0.5383,9.49e-06,2188.21,Al/St 240/40 4-bundle 380.0
ES136-220,way/144138407-220,220,491.556,1.749868,8.778505,0.00011453,29164.47,Al/St 240/40 2-bundle 220.0
way/88760627-220,ES94-220,220,983.112,0.178321,0.894578,4.67e-05,5944.04,Al/St 240/40 2-bundle 220.0
way/89084456-220,ES94-220,220,491.556,1.372651,6.886134,8.98e-05,22877.52,Al/St 240/40 2-bundle 220.0
way/891962367-220,way/931778222-220,220,491.556,0.576339,2.891301,3.77e-05,9605.65,Al/St 240/40 2-bundle 220.0
way/274593968-220,way/329277804-220,220,983.112,0.427392,2.144082,0.00011189,14246.39,Al/St 240/40 2-bundle 220.0
way/51822825-220,ES53-220,220,983.112,0.093314,0.468126,2.44e-05,3110.47,Al/St 240/40 2-bundle 220.0
way/90829734-400,way/181906370-400,400,3574.953,0.133144,1.091781,7.7e-05,8876.27,Al/St 240/40 4-bundle 380.0
way/144116983-220,way/144116982-220,220,491.556,0.562481,2.821782,3.68e-05,9374.69,Al/St 240/40 2-bundle 220.0
way/194341129-220,ES122-220,220,491.556,0.528429,2.650952,3.46e-05,8807.15,Al/St 240/40 2-bundle 220.0
way/913515391-220,way/144787749-220,220,491.556,0.090633,0.454676,5.93e-06,1510.55,Al/St 240/40 2-bundle 220.0
relation/17148268-220,ES269-220,220,491.556,0.123373,0.618922,8.07e-06,2056.22,Al/St 240/40 2-bundle 220.0
relation/17148268-400,ES258-400,400,3574.953,0.6053,4.963456,0.0003499,40353.3,Al/St 240/40 4-bundle 380.0
way/58928252-220,way/103511952-220,220,491.556,0.502191,2.519325,3.29e-05,8369.85,Al/St 240/40 2-bundle 220.0
way/58928252-400,way/191480803-400,400,1787.476,0.934951,7.666602,0.00013511,31165.05,Al/St 240/40 4-bundle 380.0
way/91441017-220,ES271-220,220,491.556,0.410635,2.060017,2.69e-05,6843.91,Al/St 240/40 2-bundle 220.0
way/91441017-220,ES261-220,220,983.112,2.033691,10.202348,0.00053242,67789.69,Al/St 240/40 2-bundle 220.0
ES261-220,ES259-220,220,983.112,0.402949,2.021459,0.00010549,13431.62,Al/St 240/40 2-bundle 220.0
ES259-220,ES247-220,220,983.112,1.396609,7.00632,0.00036563,46553.62,Al/St 240/40 2-bundle 220.0
way/91441017-220,ES271-220,220,491.556,0.419002,2.101994,2.74e-05,6983.37,Al/St 240/40 2-bundle 220.0
way/170395478-220,way/91441017-220,220,983.112,0.532832,2.673038,0.00013949,17761.05,Al/St 240/40 2-bundle 220.0
