from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
23,renewable,1,generation,3519.0942282780666,5.0,225.0,182.8179205936253,sol23,gen1,Renewable cluster 23 to Generation cluster 1,,,,,182.8179205936253,0.0,0.0,False,[]
23,renewable,3,demand,16254.863816332025,14.0,275.0,245.83501949500166,sol23,dem3,Renewable cluster 23 to Demand cluster 3,,,,,245.83501949500166,0.0,0.0,False,[]
25,renewable,4,demand,3798.3874209985484,5.0,260.0,130.00791071536628,sol25,dem4,Renewable cluster 25 to Demand cluster 4,,,,,130.00791071536628,0.0,0.0,False,[]
27,renewable,4,demand,502.7277468968667,1.0,225.0,176.4063530425317,sol27,dem4,Renewable cluster 27 to Demand cluster 4,,,,,176.4063530425317,0.0,0.0,False,[]
27,renewable,4,generation,1005.4554937937334,2.0,225.0,150.7017103285688,sol27,gen4,Renewable cluster 27 to Generation cluster 4,,,,,150.7017103285688,0.0,0.0,False,[]
28,renewable,4,generation,1787.4764334110816,1.0,400.0,231.55392843035747,sol28,gen4,Renewable cluster 28 to Generation cluster 4,,,,,231.55392843035747,0.0,0.0,False,[]
29,renewable,4,demand,2010.9109875874667,3.0,225.0,9.571727243749466,sol29,dem4,Renewable cluster 29 to Demand cluster 4,,,,,9.571727243749466,0.0,0.0,False,[]
32,renewable,3,demand,502.7277468968667,1.0,225.0,119.93023812528135,won2,dem3,Renewable cluster 32 to Demand cluster 3,,,,,119.93023812528135,0.0,0.0,False,[]
37,renewable,3,demand,1508.1832406906,3.0,225.0,191.31972419254203,won7,dem3,Renewable cluster 37 to Demand cluster 3,,,,,191.31972419254203,0.0,0.0,False,[]
39,renewable,3,demand,2010.9109875874667,4.0,225.0,187.61807466235777,won9,dem3,Renewable cluster 39 to Demand cluster 3,,,,,187.61807466235777,0.0,0.0,False,[]
40,renewable,4,demand,13461.931889127209,12.0,297.9166666666667,78.73485707141862,won10,dem4,Renewable cluster 40 to Demand cluster 4,,,,,78.73485707141862,0.0,0.0,False,[]
44,renewable,4,generation,502.7277468968667,1.0,225.0,172.6967717571996,won14,gen4,Renewable cluster 44 to Generation cluster 4,,,,,172.6967717571996,0.0,0.0,False,[]
45,renewable,0,demand,2290.2041803079483,2.0,312.5,181.65451575510534,won15,dem0,Renewable cluster 45 to Demand cluster 0,,,,,181.65451575510534,0.0,0.0,False,[]
47,renewable,0,generation,7149.905733644328,2.0,400.0,231.339439589491,won17,gen0,Renewable cluster 47 to Generation cluster 0,,,,,231.339439589491,0.0,0.0,False,[]
47,renewable,2,demand,31336.696223238032,17.0,307.3529411764706,178.91820712598658,won17,dem2,Renewable cluster 47 to Demand cluster 2,,,,,178.91820712598658,0.0,0.0,False,[]
49,renewable,1,demand,7540.916203453,12.0,225.0,125.15717651348803,won19,dem1,Renewable cluster 49 to Demand cluster 1,,,,,125.15717651348803,0.0,0.0,False,[]
49,renewable,3,generation,2010.9109875874667,4.0,225.0,170.93052376798911,won19,gen3,Renewable cluster 49 to Generation cluster 3,,,,,170.93052376798911,0.0,0.0,False,[]
51,renewable,1,demand,11171.72770881926,12.0,283.3333333333333,81.97812813167549,won21,dem1,Renewable cluster 51 to Demand cluster 1,,,,,81.97812813167549,0.0,0.0,False,[]
52,renewable,1,demand,7373.340287820712,7.0,300.0,77.38926123474171,won22,dem1,Renewable cluster 52 to Demand cluster 1,,,,,77.38926123474171,0.0,0.0,False,[]
53,renewable,1,demand,2513.6387344843333,5.0,225.0,114.02311387527939,won23,dem1,Renewable cluster 53 to Demand cluster 1,,,,,114.02311387527939,0.0,0.0,False,[]
54,renewable,0,demand,2010.9109875874667,3.0,225.0,271.14464454212003,won24,dem0,Renewable cluster 54 to Demand cluster 0,,,,,271.14464454212003,0.0,0.0,False,[]
54,renewable,1,demand,502.7277468968667,1.0,225.0,301.9729854392322,won24,dem1,Renewable cluster 54 to Demand cluster 1,,,,,301.9729854392322,0.0,0.0,False,[]
54,renewable,1,generation,2792.931927204815,3.0,283.3333333333333,257.136144713523,won24,gen1,Renewable cluster 54 to Generation cluster 1,,,,,257.136144713523,0.0,0.0,False,[]
54,renewable,4,generation,502.7277468968667,1.0,225.0,288.3013538479404,won24,gen4,Renewable cluster 54 to Generation cluster 4,,,,,288.3013538479404,0.0,0.0,False,[]
55,renewable,0,demand,4077.68061371903,3.0,341.6666666666667,113.92681459880482,won25,dem0,Renewable cluster 55 to Demand cluster 0,,,,,113.92681459880482,0.0,0.0,False,[]
57,renewable,4,demand,1508.1832406906,3.0,225.0,50.98837293012684,won27,dem4,Renewable cluster 57 to Demand cluster 4,,,,,50.98837293012684,0.0,0.0,False,[]
72,renewable,0,demand,502.7277468968667,1.0,225.0,310.88690439448,wof14,dem0,Renewable cluster 72 to Demand cluster 0,,,,,310.88690439448,0.0,0.0,False,[]
1,renewable,0,demand,0.0,,0.0,31.211144902199706,sol1,dem0,Potential connection: Renewable cluster 1 to Demand cluster 0,potential_renewable1-demand0,renewable1,demand0,potential,31.211144902199706,0.0,0.0,False,[]
12,renewable,3,generation,0.0,,0.0,97.64286777915872,sol12,gen3,Potential connection: Renewable cluster 12 to Generation cluster 3,potential_renewable12-generation3,renewable12,generation3,potential,97.64286777915872,0.0,0.0,False,[]
14,renewable,3,generation,0.0,,0.0,80.07765935424273,sol14,gen3,Potential connection: Renewable cluster 14 to Generation cluster 3,potential_renewable14-generation3,renewable14,generation3,potential,80.07765935424273,0.0,0.0,False,[]
