GEM location ID,bus_id
L100001017970,way/896657928-230
L100001017995,PH22-500
L100001018027,way/315261197-500
L100001018031,way/280280151-230
L100001018033,PH22-500
L100001018035,way/444278653-500
L100001018039,way/449224249-230
L100001018045,way/280280151-230
L100001018047,way/168703936-230
L100001018049,PH47-500
L100001018052,way/280280151-230
L100001018053,way/168703936-230
L100001018054,PH65-230
L100001018056,way/280280151-230
L100001018058,way/444226898-500
L100001018125,way/444226898-500
L100001018129,PH12-230
L100001018131,way/896657928-230
L100001018135,PH22-500
L100001018396,PH88-138
L100001018499,PH87-138
L100001018500,way/616047139-138
L100001018505,PH75-138
L100001018506,PH67-138
L100001018508,PH92-138
L100001018509,PH88-138
L100001018510,PH88-138
L100001018586,way/247012858-138
L100001018587,PH106-138
L100001018588,PH75-138
L100001018589,way/281402425-138
L100001018590,PH70-138
L100001018591,PH109-138
L100001018592,PH87-138
L100001018593,PH88-138
L100001018594,PH71-138
L100001018621,way/485597451-138
L100001018623,PH113-138
L100001018981,PH40-230
L100000800793,PH57-230
L100000830771,way/239879814-230
L100000830772,way/232660843-230
L100000800802,way/102135259-230
L100000830773,way/102140324-230
L100000830776,PH92-138
L100000830777,PH53-500
L100000830779,way/371684274-138
L100000830780,way/896657928-230
L100000800827,way/615643343-500
L100000830782,way/794493572-230
L100000800830,PH19-230
L100001018159,PH55-230
L100001018158,way/1177962161-230
L100000800839,PH76-230
L100000830862,way/727170005-230
L100000801509,way/794493572-500
L100000830784,PH22-500
L100000830786,PH15-230
L100001018155,way/232340888-230
L100000808680,way/232340888-230
L100000830787,PH13-230
L100000830788,way/157339625-500
L100000800853,PH26-230
L100000800854,PH26-230
L100001018153,way/193890454-220
L100000830793,way/232340888-230
L100000800856,way/315261197-230
L100001018157,way/706378329-230
L100000808682,way/504311565-230
L100000800857,way/504311565-230
L100000830794,way/1020283720-230
L100000800858,way/232660843-230
L100000800789,way/168703936-230
L100000808683,way/706378329-230
L100000830795,way/706378329-230
L100000800860,way/449224249-230
L100000808684,way/504311565-230
L100000800869,way/149967511-230
L100001018154,PH33-500
L100000800870,way/157339625-230
L100000808686,way/102369229-230
L100000800893,way/102369229-230
L100000808685,way/1356506547-230
L100000800895,way/449725900-230
L100000830800,PH20-230
L100000830801,PH20-230
L100000800897,PH20-230
L100000830802,PH4-230
L100000800898,way/232660843-230
L100001019102,way/896657928-230
L100000830805,way/896657928-230
L100000800904,way/896657928-230
L100000830806,way/493029880-138
L100001019111,PH13-230
L100000800922,PH132-138
L100000800929,way/487856247-138
L100000800951,way/611678737-138
L100001018160,way/936835406-230
L100000830816,way/232340888-230
L100000830814,way/232660843-230
L100000808688,way/232660843-230
L100000830815,way/896657928-230
L100000800965,PH138-138
L100000808689,PH19-230
