from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
0,demand,3,demand,2234.345541763852,1.0,500.0,940.5736438942168,dem0,dem3,Demand cluster 0 to Demand cluster 3,,,,,940.5736438942168,0.0,0.0,False,[]
0,generation,0,demand,143327.2043263246,24.0,708.3333333333334,853.4885082871548,gen0,dem0,Generation cluster 0 to Demand cluster 0,,,,,853.4885082871548,0.0,0.0,False,[]
0,generation,1,demand,2234.345541763852,1.0,500.0,930.7417385558826,gen0,dem1,Generation cluster 0 to Demand cluster 1,,,,,930.7417385558826,0.0,0.0,False,[]
0,generation,3,demand,1530059.042390195,408.0,537.9901960784314,90.77409572037159,gen0,dem3,Generation cluster 0 to Demand cluster 3,,,,,90.77409572037159,0.0,0.0,False,[]
1,generation,2,demand,186334.0258782598,33.0,719.6969696969697,1808.6203058897916,gen1,dem2,Generation cluster 1 to Demand cluster 2,,,,,1808.6203058897916,0.0,0.0,False,[]
1,renewable,0,generation,8937.382167055408,3.0,500.0,586.4102578147085,sol1,gen0,Renewable cluster 1 to Generation cluster 0,,,,,586.4102578147085,0.0,0.0,False,[]
1,renewable,1,demand,403689.0817200783,118.0,508.47457627118644,410.65611766816323,sol1,dem1,Renewable cluster 1 to Demand cluster 1,,,,,410.65611766816323,0.0,0.0,False,[]
1,renewable,3,demand,18879.353802500766,3.0,666.6666666666666,604.1458297420187,sol1,dem3,Renewable cluster 1 to Demand cluster 3,,,,,604.1458297420187,0.0,0.0,False,[]
2,generation,0,demand,189919.37104992743,73.0,500.0,520.0780679127557,gen2,dem0,Generation cluster 2 to Demand cluster 0,,,,,520.0780679127557,0.0,0.0,False,[]
2,generation,2,demand,986707.7758526079,352.0,504.54545454545456,663.5668798061469,gen2,dem2,Generation cluster 2 to Demand cluster 2,,,,,663.5668798061469,0.0,0.0,False,[]
3,generation,1,demand,1085178.3283645136,270.0,577.9629629629629,528.6053234490245,gen3,dem1,Generation cluster 3 to Demand cluster 1,,,,,528.6053234490245,0.0,0.0,False,[]
3,generation,2,demand,543933.2356089301,76.0,740.1315789473684,866.7047932222212,gen3,dem2,Generation cluster 3 to Demand cluster 2,,,,,866.7047932222212,0.0,0.0,False,[]
3,renewable,1,demand,15640.418792346964,5.0,500.0,523.0885799995675,sol3,dem1,Renewable cluster 3 to Demand cluster 1,,,,,523.0885799995675,0.0,0.0,False,[]
4,generation,1,demand,408989.15719123906,109.0,559.6330275229358,545.6066237108979,gen4,dem1,Generation cluster 4 to Demand cluster 1,,,,,545.6066237108979,0.0,0.0,False,[]
4,generation,4,demand,243543.66405225988,77.0,500.0,600.8957747674992,gen4,dem4,Generation cluster 4 to Demand cluster 4,,,,,600.8957747674992,0.0,0.0,False,[]
4,renewable,0,demand,136295.078047595,46.0,500.0,825.4899393402812,sol4,dem0,Renewable cluster 4 to Demand cluster 0,,,,,825.4899393402812,0.0,0.0,False,[]
4,renewable,0,generation,88144.06559718018,27.0,518.5185185185185,569.4644480179713,sol4,gen0,Renewable cluster 4 to Generation cluster 0,,,,,569.4644480179713,0.0,0.0,False,[]
4,renewable,1,demand,50160.19138719469,14.0,571.4285714285714,713.3692912949494,sol4,dem1,Renewable cluster 4 to Demand cluster 1,,,,,713.3692912949494,0.0,0.0,False,[]
4,renewable,2,generation,22343.45541763852,8.0,500.0,826.2635549783407,sol4,gen2,Renewable cluster 4 to Generation cluster 2,,,,,826.2635549783407,0.0,0.0,False,[]
4,renewable,3,demand,18879.353802500766,3.0,666.6666666666666,631.173933777733,sol4,dem3,Renewable cluster 4 to Demand cluster 3,,,,,631.173933777733,0.0,0.0,False,[]
5,renewable,0,generation,6703.0366252915555,3.0,500.0,337.0370480860594,sol5,gen0,Renewable cluster 5 to Generation cluster 0,,,,,337.0370480860594,0.0,0.0,False,[]
5,renewable,3,demand,166346.159558915,46.0,510.8695652173913,401.6156071617324,sol5,dem3,Renewable cluster 5 to Demand cluster 3,,,,,401.6156071617324,0.0,0.0,False,[]
6,renewable,3,demand,2234.345541763852,1.0,500.0,458.0077251023247,sol6,dem3,Renewable cluster 6 to Demand cluster 3,,,,,458.0077251023247,0.0,0.0,False,[]
7,renewable,3,demand,17874.764334110816,7.0,500.0,395.3725875771509,sol7,dem3,Renewable cluster 7 to Demand cluster 3,,,,,395.3725875771509,0.0,0.0,False,[]
8,renewable,0,demand,13406.073250583111,6.0,500.0,580.5852805457995,sol8,dem0,Renewable cluster 8 to Demand cluster 0,,,,,580.5852805457995,0.0,0.0,False,[]
10,renewable,2,demand,25582.39042779232,5.0,600.0,122.63325937179461,sol10,dem2,Renewable cluster 10 to Demand cluster 2,,,,,122.63325937179461,0.0,0.0,False,[]
11,renewable,2,demand,248012.35513578757,89.0,500.0,84.72640830319642,sol11,dem2,Renewable cluster 11 to Demand cluster 2,,,,,84.72640830319642,0.0,0.0,False,[]
12,renewable,2,demand,60327.329627624,18.0,500.0,111.26246242792993,sol12,dem2,Renewable cluster 12 to Demand cluster 2,,,,,111.26246242792993,0.0,0.0,False,[]
15,renewable,2,demand,87139.47612879022,30.0,500.0,232.2693309072342,sol15,dem2,Renewable cluster 15 to Demand cluster 2,,,,,232.2693309072342,0.0,0.0,False,[]
