GEM location ID,bus_id,bus_name
L100000805653,way/169416665-220,DarlingtonPoint
L100000805554,way/121646942-275,Broadsound
L100001023694,way/196583889-275,Chalumbin
L100001023962,way/64943050-500,SouthMorang
L100001023733,way/169408193-330,MountPiper
L100001023815,way/121646942-275,Broadsound
L100001023816,way/121646942-275,Broadsound
L100001023798,way/169408193-330,MountPiper
L100001023778,way/64943050-500,SouthMorang
L100000805648,way/550221344-275,WandoanSouth
L100001020218,way/89180086-220,Ballarat
L100001023846,way/172362099-275,Para
L100001023848,way/172362099-275,Para
L100001023832,way/172362099-275,Para
L100001023826,AU57-330,Perth
L100001080348,way/172362099-275,Para
L100000805475,way/121646942-275,Broadsound
L100001080322,way/172587651-275,Brisbane
L100000805516,way/950049612-330,Yandin
L100001023820,way/89180086-220,Ballarat
L100001023855,way/172362099-275,Para
L100000827541,way/583492111-220,Karratha
L100001019893,way/432510474-275,CalliopeRiver
L100001019977,way/164775125-275,Robertstown
L100001020227,way/550221344-275,WandoanSouth
L100000805479,way/64943050-500,SouthMorang
L100001023791,way/169416665-220,DarlingtonPoint
L100001023926,way/570175005-220,Rowville
L100001023939,way/172362099-275,Para
L100001023880,way/172362099-275,Para
L100000805497,way/169408193-330,MountPiper
L100000805684,way/169408193-330,MountPiper
L100001023814,way/583506664-220,AUS22p9S118p7E
L100001048567,way/89180086-220,Ballarat
L100000827485,way/480009927-500,Hazelwood
L100001023825,way/64943050-500,SouthMorang
L100000809146,way/480009927-500,Hazelwood
L100001023993,way/925410265-330,SydneyWest
L100000805478,way/550221344-275,WandoanSouth
L100000805678,way/169794711-220,Balranald
L100001045195,way/171744075-275,Strathmore
L100001023870,AU57-330,Perth
L100001023772,AU51-220,Kalgoorlie
L100001048563,way/160201298-330,Armidale
L100001023945,way/196583889-275,Chalumbin
L100001023828,way/172587651-275,Brisbane
L100001023927,way/570175005-220,Rowville
L100001019650,way/64943050-500,SouthMorang
L100000805521,way/432510474-275,CalliopeRiver
L100001020220,way/169408193-330,MountPiper
L100001080364,way/172362099-275,Para
L100000805668,way/172231145-330,Wagga
L100000805555,way/64943050-500,SouthMorang
L100000805682,way/64943050-500,SouthMorang
L100001023837,way/925410265-330,SydneyWest
L100000805579,way/169408193-330,MountPiper
L100001019887,way/64943050-500,SouthMorang
L100001019889,way/64943050-500,SouthMorang
L100001080340,AU73-330,CentralCoast
L100000805465,way/169408193-330,MountPiper
