bus_id,station_id,x,y,tags,voltage
dem0,dem0,76.97372947214075,29.047912170087972,demand0,300
dem3,dem3,74.70649815436242,22.259303523489933,demand3,300
dem2,dem2,86.39857762771581,25.067710099823838,demand2,300
dem1,dem1,77.62785431003248,11.538855422202229,demand1,300
dem4,dem4,78.8080724480578,16.749525383920506,demand4,300
gen0,gen0,93.93075658333483,27.50867541490693,generation0,300
gen1,gen1,72.68172887264554,23.599425085165855,generation1,300
gen2,gen2,77.62272379347145,14.372565410782173,generation2,300
gen3,gen3,83.12411044331138,22.65502637804983,generation3,300
gen4,gen4,77.19527541341792,30.243761172413084,generation4,300
sol1,sol1,72.00088512657354,23.931427121075426,solar1,300
sol2,sol2,72.30449991868987,25.75341871386146,solar2,300
sol3,sol3,74.9730358930076,25.21723126305641,solar3,300
sol4,sol4,71.96319894089562,22.109746050487548,solar4,300
sol5,sol5,73.74788515329566,23.38790603789801,solar5,300
sol6,sol6,73.20371963888903,19.571518580894786,solar6,300
sol7,sol7,74.65542864813078,20.971138705825386,solar7,300
sol8,sol8,78.13277913899968,21.298185529465126,solar8,300
sol9,sol9,76.3230702376418,20.776397878674246,solar9,300
sol10,sol10,75.74296361674686,23.246327515105623,solar10,300
sol11,sol11,77.53811338431797,23.442375280262706,solar11,300
sol12,sol12,73.85193159425752,29.45532088208286,solar12,300
sol13,sol13,74.99526812591957,30.88191594327742,solar13,300
sol14,sol14,72.07729251230002,27.710723031890343,solar14,300
sol15,sol15,74.7424338256754,27.982237236880547,solar15,300
sol16,sol16,75.32810825489123,32.36900454655678,solar16,300
sol17,sol17,77.1351206230888,30.07907635050427,solar17,300
sol18,sol18,77.67492598083714,25.349542136541825,solar18,300
sol19,sol19,79.91595281267217,24.697210958875434,solar19,300
sol20,sol20,79.72706151477851,26.470796972079576,solar20,300
sol21,sol21,76.38024491676723,26.88483137365101,solar21,300
sol22,sol22,77.45634805513131,28.173220543565513,solar22,300
sol23,sol23,79.62998742952041,29.361165144135608,solar23,300
sol24,sol24,79.81569626582562,28.2065483341705,solar24,300
sol25,sol25,84.90713624199059,26.541810670920967,solar25,300
sol26,sol26,81.90940775913668,27.41517482069526,solar26,300
sol27,sol27,82.06010507212753,24.931220487711553,solar27,300
sol28,sol28,83.66506349660304,25.569490135874446,solar28,300
sol29,sol29,70.257899600188,26.8397314413062,solar29,300
sol30,sol30,69.91168773761564,23.965137866241452,solar30,300
sol31,sol31,70.31603452997886,22.036552389113066,solar31,300
sol32,sol32,87.63270069557177,22.183820516946177,solar32,300
sol33,sol33,87.79956699326786,25.98872085590508,solar33,300
sol34,sol34,87.74569060046825,24.75105207951344,solar34,300
sol35,sol35,87.50209368059393,23.593267746236,solar35,300
sol36,sol36,94.34587164900415,24.450646852147575,solar36,300
sol37,sol37,94.26610571455926,25.935542664011244,solar37,300
sol38,sol38,92.64852694610798,25.37200536956054,solar38,300
sol39,sol39,92.54894055392758,22.57417263466468,solar39,300
sol40,sol40,91.66103644834511,23.77432196874233,solar40,300
sol41,sol41,93.71142424372812,26.856046651632834,solar41,300
sol42,sol42,95.65228677115854,27.576598719780904,solar42,300
sol43,sol43,95.28980320651982,27.941184934802504,solar43,300
sol44,sol44,90.48827625869505,25.715649200326965,solar44,300
sol45,sol45,88.89947884210478,26.58099830858609,solar45,300
sol46,sol46,90.90238051016111,26.581183298029917,solar46,300
sol47,sol47,83.87344859126823,18.502464450699723,solar47,300
sol48,sol48,85.18686660913899,20.089777308413325,solar48,300
sol49,sol49,80.48755198159088,18.63754116324798,solar49,300
sol50,sol50,82.13267477975924,18.66177221147521,solar50,300
sol51,sol51,82.25151004965481,19.901993732495413,solar51,300
sol52,sol52,80.2112237665877,22.704287145878435,solar52,300
sol53,sol53,79.94576731223032,20.39640156827084,solar53,300
sol54,sol54,81.55187736362188,21.386424282461686,solar54,300
sol55,sol55,83.48796944872363,21.453054297066284,solar55,300
sol56,sol56,85.58395132399032,22.183834567448375,solar56,300
sol57,sol57,82.95565944197294,23.057344106828356,solar57,300
sol58,sol58,85.04684459774185,24.19092516498774,solar58,300
sol59,sol59,76.46433556526,17.751573047353848,solar59,300
sol60,sol60,74.99487608449374,18.269190473512133,solar60,300
sol61,sol61,74.17703281828543,15.934562476950468,solar61,300
sol62,sol62,75.56381741965671,15.559117118247908,solar62,300
sol63,sol63,77.50785267962735,16.348144744518773,solar63,300
sol64,sol64,78.46843938395192,18.65950020179019,solar64,300
sol65,sol65,77.49479010715166,19.63287983766767,solar65,300
sol66,sol66,81.59485290073232,16.80460611393751,solar66,300
sol67,sol67,79.95475256025888,16.99533727231248,solar67,300
sol68,sol68,79.33903686304745,12.661381300416679,solar68,300
sol69,sol69,78.24052386708128,14.348626661775999,solar69,300
sol70,sol70,79.63838726838372,14.603775341631737,solar70,300
sol71,sol71,78.40533256365222,9.21938705064948,solar71,300
sol72,sol72,79.32510826528544,10.922333980479198,solar72,300
sol73,sol73,78.21168306004598,10.668823082465245,solar73,300
sol74,sol74,76.15790898627692,11.070115191235827,solar74,300
sol75,sol75,76.93827947717611,9.36006882312108,solar75,300
sol76,sol76,75.11857775224215,13.273239323434302,solar76,300
sol77,sol77,77.42006463495085,12.11625250116919,solar77,300
sol78,sol78,76.56899977621072,13.263544409531432,solar78,300
won79,won79,80.53027900944707,27.568646248158938,wind_onshore79,300
won80,won80,82.69163831847504,27.145978538045068,wind_onshore80,300
won81,won81,81.89453608070693,26.261782828491764,wind_onshore81,300
won82,won82,78.59468652638891,28.793343383966914,wind_onshore82,300
won83,won83,76.91112272158604,29.984016069110275,wind_onshore83,300
won84,won84,79.18419934082182,27.08812509039273,wind_onshore84,300
won85,won85,78.18654129308817,26.918808424226814,wind_onshore85,300
won86,won86,77.20637847596964,28.67533669741975,wind_onshore86,300
won87,won87,91.36469761092931,23.434164569737867,wind_onshore87,300
won88,won88,88.27645953145375,22.634024681322746,wind_onshore88,300
won89,won89,85.80005219718355,20.106235602515724,wind_onshore89,300
won90,won90,87.09736331044336,23.186798131460442,wind_onshore90,300
won91,won91,87.71313907683133,24.41389423251385,wind_onshore91,300
won92,won92,86.74251798486107,26.066552421403856,wind_onshore92,300
won93,won93,88.51946866791785,25.36439741125924,wind_onshore93,300
won94,won94,80.31144050245388,23.74652281159376,wind_onshore94,300
won95,won95,81.66199114710119,23.069873841603346,wind_onshore95,300
won96,won96,81.7451720864742,24.403260639081125,wind_onshore96,300
won97,won97,84.81436299191927,26.444177635438987,wind_onshore97,300
won98,won98,84.57464963181324,25.688543313501697,wind_onshore98,300
won99,won99,83.11457356291433,25.17677905226506,wind_onshore99,300
won100,won100,84.86353300512582,22.925991025423496,wind_onshore100,300
won101,won101,85.62733314505991,24.007936862023758,wind_onshore101,300
won102,won102,79.16374158981449,11.298652419565665,wind_onshore102,300
won103,won103,78.61244951814665,9.5394683595401,wind_onshore103,300
won104,won104,82.05338959824543,16.70200097522109,wind_onshore104,300
won105,won105,79.89386586331278,13.626330459664345,wind_onshore105,300
won106,won106,79.10342462058003,15.175017477351535,wind_onshore106,300
won107,won107,78.7028851429067,12.277075099710432,wind_onshore107,300
won108,won108,78.19226601345288,17.95798778863123,wind_onshore108,300
won109,won109,76.37393852562275,17.291767177783388,wind_onshore109,300
won110,won110,77.63107624173202,14.698015606886996,wind_onshore110,300
won111,won111,73.8777584491819,16.70365511409778,wind_onshore111,300
won112,won112,77.38777743510704,10.110288006443074,wind_onshore112,300
won113,won113,76.61125337796437,12.84551431602136,wind_onshore113,300
won114,won114,75.33925104537359,15.462309157290115,wind_onshore114,300
won115,won115,79.63358406822141,21.774141512260048,wind_onshore115,300
won116,won116,82.63760014258504,20.96279962175805,wind_onshore116,300
won117,won117,80.51622233646609,20.584886838633906,wind_onshore117,300
won118,won118,82.14917650219502,19.756636381724764,wind_onshore118,300
won119,won119,80.89165964102364,19.438830274973895,wind_onshore119,300
won120,won120,79.41892927299014,18.872991587453498,wind_onshore120,300
won121,won121,82.63533626593507,18.17412566129076,wind_onshore121,300
won122,won122,80.64556041207888,16.759686976849718,wind_onshore122,300
won123,won123,78.05404395285002,20.881847083252058,wind_onshore123,300
won124,won124,74.3985216604095,19.249214695470688,wind_onshore124,300
won125,won125,75.7885878358477,20.86372113464547,wind_onshore125,300
won126,won126,69.82454568275001,23.594142081182596,wind_onshore126,300
won127,won127,73.33773986527073,20.23527034303193,wind_onshore127,300
won128,won128,71.89338490694028,21.80206216257988,wind_onshore128,300
won129,won129,73.37335431911535,23.32674238444476,wind_onshore129,300
won130,won130,72.5285189966223,26.240745865894382,wind_onshore130,300
won131,won131,72.36934421416889,24.67713122329895,wind_onshore131,300
won132,won132,78.85223749689351,23.142033705221824,wind_onshore132,300
won133,won133,75.93073982868657,22.842875167223085,wind_onshore133,300
won134,won134,76.26280161250043,24.177340800618776,wind_onshore134,300
won135,won135,74.76056047284044,25.796100801082744,wind_onshore135,300
won136,won136,76.34858602062504,26.054525494784105,wind_onshore136,300
won137,won137,79.5390056829741,25.61450482481651,wind_onshore137,300
won138,won138,78.32811876906231,25.026982238537776,wind_onshore138,300
won139,won139,75.41978571675718,29.938128170820484,wind_onshore139,300
won140,won140,76.84882490199855,27.120371663022347,wind_onshore140,300
won141,won141,75.69388953467733,28.744986231599484,wind_onshore141,300
won142,won142,70.58806170080412,27.148922044684472,wind_onshore142,300
won143,won143,73.39808058799073,29.1592762731672,wind_onshore143,300
won144,won144,75.12642396400739,27.654611807505102,wind_onshore144,300
won145,won145,73.38089182250653,27.57623013643764,wind_onshore145,300
wof146,wof146,71.84274330475859,11.068898099656707,wind_offshore146,300
wof147,wof147,72.13338502757718,12.890615551378485,wind_offshore147,300
wof148,wof148,73.3011619340798,14.500870941812488,wind_offshore148,300
wof149,wof149,72.38314997019637,16.937858360197275,wind_offshore149,300
wof150,wof150,72.8858264158525,15.58079925137548,wind_offshore150,300
wof151,wof151,67.5653039427813,22.564386597052057,wind_offshore151,300
wof152,wof152,68.36922550864031,21.843450436836243,wind_offshore152,300
wof153,wof153,71.68732368725534,18.362408966417828,wind_offshore153,300
wof154,wof154,69.52397894945454,20.563098426100865,wind_offshore154,300
wof155,wof155,70.48922339323637,19.444057687436462,wind_offshore155,300
wof156,wof156,70.58524772224806,20.371266713121695,wind_offshore156,300
wof157,wof157,71.46848553128224,19.49863461371777,wind_offshore157,300
wof158,wof158,80.50453339231778,12.571998095497959,wind_offshore158,300
wof159,wof159,80.41072084568229,10.58438967691929,wind_offshore159,300
wof160,wof160,79.94763493559977,11.427190805917645,wind_offshore160,300
