bus0,bus1,voltage,s_nom,length,type
way/242253500-500,way/193544791-500,500.0,4468.691083527704,64942.35,Al/St 240/40 4-bundle 380.0
JP117-500,way/317511904-500,500.0,2234.345541763852,15820.97,Al/St 240/40 4-bundle 380.0
way/172907196-500,way/171066843-500,500.0,4468.691083527704,62213.09,Al/St 240/40 4-bundle 380.0
way/211412000-500,way/315461272-500,500.0,4468.691083527704,14474.77,Al/St 240/40 4-bundle 380.0
way/186510275-500,JP267-500,500.0,4468.691083527704,16379.27,Al/St 240/40 4-bundle 380.0
way/185029969-500,way/172144358-500,500.0,4468.691083527704,86974.43,Al/St 240/40 4-bundle 380.0
way/172144358-500,way/405626236-500,500.0,4468.691083527704,75598.42,Al/St 240/40 4-bundle 380.0
JP269-500,way/185029969-500,500.0,4468.691083527704,33149.34,Al/St 240/40 4-bundle 380.0
way/901872439-500,JP19-500,500.0,4468.691083527704,21776.46,Al/St 240/40 4-bundle 380.0
way/201293312-500,way/216778426-500,500.0,4468.691083527704,104325.21,Al/St 240/40 4-bundle 380.0
way/156208858-500,JP19-500,500.0,4468.691083527704,39646.49,Al/St 240/40 4-bundle 380.0
JP19-500,way/659138214-500,500.0,4468.691083527704,52836.72,Al/St 240/40 4-bundle 380.0
way/171066843-500,way/87538349-500,500.0,4468.691083527704,77564.38,Al/St 240/40 4-bundle 380.0
way/315618377-500,relation/11529219-500,500.0,4468.691083527704,84880.95,Al/St 240/40 4-bundle 380.0
JP102-500,JP96-500,500.0,2234.345541763852,4103.36,Al/St 240/40 4-bundle 380.0
way/190769051-500,JP112-500,500.0,4468.691083527704,7190.59,Al/St 240/40 4-bundle 380.0
JP112-500,JP106-500,500.0,2234.345541763852,1547.43,Al/St 240/40 4-bundle 380.0
JP106-500,JP112-500,500.0,2234.345541763852,1576.38,Al/St 240/40 4-bundle 380.0
JP106-500,JP102-500,500.0,4468.691083527704,2868.89,Al/St 240/40 4-bundle 380.0
JP102-500,JP96-500,500.0,2234.345541763852,4171.87,Al/St 240/40 4-bundle 380.0
JP96-500,way/832823487-500,500.0,4468.691083527704,2976.02,Al/St 240/40 4-bundle 380.0
way/109850439-500,way/169031998-500,500.0,4468.691083527704,61833.77,Al/St 240/40 4-bundle 380.0
way/187988970-500,way/201293312-500,500.0,4468.691083527704,31102.51,Al/St 240/40 4-bundle 380.0
way/156208858-500,way/253566674-500,500.0,4468.691083527704,30020.08,Al/St 240/40 4-bundle 380.0
way/172144358-500,way/201293312-500,500.0,4468.691083527704,51575.98,Al/St 240/40 4-bundle 380.0
way/659138214-500,way/785319805-500,500.0,4468.691083527704,21480.29,Al/St 240/40 4-bundle 380.0
way/785319805-500,way/106076988-500,500.0,4468.691083527704,42655.07,Al/St 240/40 4-bundle 380.0
JP116-500,way/421647841-500,500.0,4468.691083527704,47151.45,Al/St 240/40 4-bundle 380.0
way/209429410-500,way/209726348-500,500.0,4468.691083527704,42844.42,Al/St 240/40 4-bundle 380.0
JP9-500,way/1028554758-500,500.0,4468.691083527704,57087.11,Al/St 240/40 4-bundle 380.0
JP292-500,JP294-500,500.0,2234.345541763852,2986.04,Al/St 240/40 4-bundle 380.0
way/216502300-500,way/405626236-500,500.0,4468.691083527704,44068.09,Al/St 240/40 4-bundle 380.0
way/216956620-500,way/216953915-500,500.0,4468.691083527704,52835.93,Al/St 240/40 4-bundle 380.0
JP41-500,way/168857610-500,500.0,2234.345541763852,1220.7,Al/St 240/40 4-bundle 380.0
JP29-500,JP37-500,500.0,4468.691083527704,22603.14,Al/St 240/40 4-bundle 380.0
JP37-500,JP41-500,500.0,4468.691083527704,21505.02,Al/St 240/40 4-bundle 380.0
way/1030329139-500,JP29-500,500.0,2234.345541763852,53795.22,Al/St 240/40 4-bundle 380.0
way/174636874-500,way/106076988-500,500.0,4468.691083527704,189944.32,Al/St 240/40 4-bundle 380.0
way/241822623-500,way/241822631-500,500.0,4468.691083527704,47681.09,Al/St 240/40 4-bundle 380.0
way/241828221-500,way/241822623-500,500.0,4468.691083527704,75124.28,Al/St 240/40 4-bundle 380.0
way/241828221-500,way/242103481-500,500.0,4468.691083527704,56987.27,Al/St 240/40 4-bundle 380.0
way/242103532-500,JP218-500,500.0,4468.691083527704,60626.68,Al/St 240/40 4-bundle 380.0
JP218-500,way/241822623-500,500.0,4468.691083527704,29949.12,Al/St 240/40 4-bundle 380.0
way/242103481-500,way/242253537-500,500.0,4468.691083527704,93554.67,Al/St 240/40 4-bundle 380.0
way/241822621-500,JP155-500,500.0,4468.691083527704,17537.73,Al/St 240/40 4-bundle 380.0
way/242253537-500,way/241822621-500,500.0,4468.691083527704,41765.0,Al/St 240/40 4-bundle 380.0
way/242253500-500,way/204258596-500,500.0,2234.345541763852,87227.44,Al/St 240/40 4-bundle 380.0
way/204258596-500,way/317416612-500,500.0,4468.691083527704,134247.12,Al/St 240/40 4-bundle 380.0
way/1028554758-500,way/714627759-500,500.0,4468.691083527704,55363.69,Al/St 240/40 4-bundle 380.0
JP10-500,way/174636874-500,500.0,4468.691083527704,105939.02,Al/St 240/40 4-bundle 380.0
way/250540807-500,way/505170104-500,500.0,4468.691083527704,26016.36,Al/St 240/40 4-bundle 380.0
JP57-500,way/169249243-500,500.0,4468.691083527704,5581.61,Al/St 240/40 4-bundle 380.0
way/104530060-500,way/168839127-500,500.0,4468.691083527704,25312.6,Al/St 240/40 4-bundle 380.0
way/307942220-500,way/722673849-500,500.0,4468.691083527704,36104.6,Al/St 240/40 4-bundle 380.0
JP30-500,JP29-500,500.0,2234.345541763852,20944.76,Al/St 240/40 4-bundle 380.0
JP132-500,way/315461272-500,500.0,11171.72770881926,2854.7,Al/St 240/40 4-bundle 380.0
JP34-500,JP36-500,500.0,4468.691083527704,3015.34,Al/St 240/40 4-bundle 380.0
relation/17013811-500,JP25-500,500.0,4468.691083527704,15573.6,Al/St 240/40 4-bundle 380.0
relation/11529219-500,JP118-500,500.0,4468.691083527704,1878.99,Al/St 240/40 4-bundle 380.0
way/421647841-500,JP118-500,500.0,2234.345541763852,67760.89,Al/St 240/40 4-bundle 380.0
JP118-500,way/421647841-500,500.0,2234.345541763852,67663.82,Al/St 240/40 4-bundle 380.0
JP119-500,relation/11529219-500,500.0,4468.691083527704,2614.91,Al/St 240/40 4-bundle 380.0
way/317416612-500,way/242103481-500,500.0,4468.691083527704,193224.11,Al/St 240/40 4-bundle 380.0
way/317511904-500,way/242103481-500,500.0,2234.345541763852,41370.59,Al/St 240/40 4-bundle 380.0
way/320438391-500,relation/11529637-500,500.0,4468.691083527704,58731.54,Al/St 240/40 4-bundle 380.0
JP135-500,relation/11529637-500,500.0,4468.691083527704,7262.59,Al/St 240/40 4-bundle 380.0
JP158-500,JP135-500,500.0,2234.345541763852,19434.52,Al/St 240/40 4-bundle 380.0
JP158-500,JP135-500,500.0,2234.345541763852,19363.62,Al/St 240/40 4-bundle 380.0
relation/11529637-500,JP155-500,500.0,4468.691083527704,75711.67,Al/St 240/40 4-bundle 380.0
JP121-500,relation/11529637-500,500.0,4468.691083527704,38124.62,Al/St 240/40 4-bundle 380.0
relation/11529637-500,JP124-500,500.0,4468.691083527704,31338.18,Al/St 240/40 4-bundle 380.0
JP124-500,JP120-500,500.0,4468.691083527704,15667.73,Al/St 240/40 4-bundle 380.0
JP124-500,JP121-500,500.0,4468.691083527704,6930.47,Al/St 240/40 4-bundle 380.0
way/133641619-500,relation/15580570-500,500.0,4468.691083527704,66921.09,Al/St 240/40 4-bundle 380.0
relation/15580570-500,way/168839127-500,500.0,4468.691083527704,68582.53,Al/St 240/40 4-bundle 380.0
way/195615141-500,way/145079972-500,500.0,4468.691083527704,43138.59,Al/St 240/40 4-bundle 380.0
way/133641619-500,way/133644487-500,500.0,4468.691083527704,20086.91,Al/St 240/40 4-bundle 380.0
way/133644487-500,way/145079972-500,500.0,4468.691083527704,19974.68,Al/St 240/40 4-bundle 380.0
JP95-500,way/150035494-500,500.0,4468.691083527704,21954.62,Al/St 240/40 4-bundle 380.0
JP248-500,way/722673849-500,500.0,4468.691083527704,5351.02,Al/St 240/40 4-bundle 380.0
way/169359724-500,JP249-500,500.0,4468.691083527704,115464.68,Al/St 240/40 4-bundle 380.0
JP76-500,JP73-500,500.0,2234.345541763852,8646.03,Al/St 240/40 4-bundle 380.0
way/161727149-500,way/161870227-500,500.0,4468.691083527704,30068.58,Al/St 240/40 4-bundle 380.0
JP41-500,way/168857610-500,500.0,2234.345541763852,1214.6,Al/St 240/40 4-bundle 380.0
JP296-500,way/216778426-500,500.0,2234.345541763852,125427.01,Al/St 240/40 4-bundle 380.0
