GEM location ID,bus_id,bus_name
L100000916052,way/287685850-420,Trondheim
L100001046611,way/257192868-220,Vadso
L100001062823,way/257192868-220,Vadso
L100000915496,NO60-300,Lindas
L100001062807,way/400567451-220,NOR69p9N27p1E
L100000909634,way/287685850-420,Trondheim
L100000908179,way/90273427-300,Stavanger
L100000914260,NO27-420,Kristiansund
L100000916327,relation/11981383,Lyngdal
L100000915681,NO10-420,NOR68p0N16p4E
L100000920567,relation/11981383,Lyngdal
L100000915837,way/287685850-420,Trondheim
L100001046608,way/90273427-300,Stavanger
L100000913374,way/90273427-300,Stavanger
L100001062812,way/883151328-420,Alta
L100000915598,relation/8527323-420,Stjordalshalsen
L100000916079,way/287685850-420,Trondheim
L100000912678,way/90273427-300,Stavanger
L100001062818,way/257192868-220,Vadso
L100000915920,relation/11981383,Lyngdal
L100000908203,way/90273427-300,Stavanger
L100000915998,relation/8890887,Egersund
L100000914647,relation/13989591-300,Haugesund
L100001062806,relation/13989591-300,Haugesund
L100000920569,way/90273427-300,Stavanger
L100000920570,way/90273427-300,Stavanger
L100000920571,way/90273427-300,Stavanger
L100000909314,way/287685850-420,Trondheim
L100000912941,way/90273427-300,Stavanger
L100000916224,relation/13989591-300,Haugesund
L100001062815,way/254428135-420,Namsos
L100000914157,way/254428135-420,Namsos
L100000602883,relation/7847764-420,NOR60p4N8p6E
L100001023143,way/400567451-220,NOR69p9N27p1E
L100000602884,way/883151328-420,Alta
L100001056477,NO41-420,Volda
L100000602885,relation/11981383,Lyngdal
L100000602886,NO51-420,Sogndal
L100000602887,NO41-420,Volda
L100001056478,NO41-420,Volda
L100001054780,way/400655824-300,NOR65p0N13p2E
L100001061449,NO27-420,Kristiansund
L100000602888,NO27-420,Kristiansund
L100000602889,NO69-420,Voss
L100000602890,NO69-420,Voss
L100000602891,NO69-420,Voss
L100001061409,NO69-420,Voss
L100000602892,relation/7847764-420,NOR60p4N8p6E
L100001054781,NO5-400,NOR68p1N17p5E
L100001054782,relation/10308957-300,Oslo
L100001023144,relation/7928148,Kristiansand
L100000602893,NO69-420,Voss
L100001061433,way/432965765-300,Stord
L100000602894,way/432965765-300,Stord
L100000602895,way/432965765-300,Stord
L100001023145,way/254428135-420,Namsos
L100000602896,way/60495669-420,Sarpsborg
L100001023146,way/60495669-420,Sarpsborg
L100001046188,way/358915801-420,Arendal
L100001061220,way/297388897-300,Ringsaker
L100000602897,way/287685850-420,Trondheim
L100000602898,way/287685850-420,Trondheim
L100000602899,relation/7883882-300,Notodden
L100001054783,NO15-420,NOR67p1N15p5E
L100000602900,NO60-300,Lindas
L100001054784,relation/12832053-420,Strand
L100001054785,way/572898616-420,Finnsnes
L100001061373,way/297388897-300,Ringsaker
L100000602901,NO27-420,Kristiansund
L100000602902,relation/8886202-420,Froyland
L100001054786,way/358915801-420,Arendal
L100001054787,relation/8836351-300,Bergen
L100000602903,NO51-420,Sogndal
L100001046189,way/287115458-300,Drammen
L100000602904,NO69-420,Voss
L100001023147,NO15-420,NOR67p1N15p5E
L100000602905,relation/7883882-300,Notodden
L100001023148,relation/7883882-300,Notodden
L100000602906,relation/8886202-420,Froyland
L100001023149,way/254428135-420,Namsos
L100000602907,NO46-300,NOR61p5N7p6E
L100000602908,NO46-300,NOR61p5N7p6E
L100001023150,relation/7847764-420,NOR60p4N8p6E
L100001054788,relation/10308957-300,Oslo
L100001054789,NO18-420,Bodo
L100000602909,NO27-420,Kristiansund
L100001061414,way/287115458-300,Drammen
L100001061374,NO27-420,Kristiansund
L100001061375,relation/8836351-300,Bergen
L100001054790,NO90-420,Skien
L100001046190,relation/8473044-420,MoIRana
L100000602910,NO27-420,Kristiansund
L100000602911,way/572898616-420,Finnsnes
L100001056479,way/287685850-420,Trondheim
L100001056480,way/60495669-420,Sarpsborg
L100001054792,way/432965765-300,Stord
L100000602912,way/265770276-300,Faberg
L100001023151,relation/7928148,Kristiansand
L100001054793,relation/8527323-420,Stjordalshalsen
L100001023152,relation/7883882-300,Notodden
L100001054794,NO60-300,Lindas
L100001046191,relation/7847764-420,NOR60p4N8p6E
L100000602913,relation/7847764-420,NOR60p4N8p6E
L100000602914,relation/7847764-420,NOR60p4N8p6E
L100001023153,NO46-300,NOR61p5N7p6E
L100000602915,relation/7883882-300,Notodden
L100001054795,NO69-420,Voss
L100001054796,relation/10308957-300,Oslo
L100000602916,relation/7847764-420,NOR60p4N8p6E
L100001046192,relation/7847764-420,NOR60p4N8p6E
L100000602917,relation/12832053-420,Strand
L100000602918,relation/12832053-420,Strand
L100001023154,NO46-300,NOR61p5N7p6E
L100001023155,relation/7883882-300,Notodden
L100001023156,NO51-420,Sogndal
L100000602919,NO51-420,Sogndal
L100000602920,way/297388897-300,Ringsaker
L100000602921,relation/12832053-420,Strand
L100001025610,NO46-300,NOR61p5N7p6E
L100000602922,way/572898616-420,Finnsnes
L100001061351,relation/7928148,Kristiansand
L100001023157,relation/7928148,Kristiansand
L100001023158,way/358915801-420,Arendal
L100001054797,relation/8886202-420,Froyland
L100000602923,NO46-300,NOR61p5N7p6E
L100001054798,way/432965765-300,Stord
L100000602924,way/287115458-300,Drammen
L100001023159,relation/7883882-300,Notodden
L100000602925,NO41-420,Volda
L100000602926,NO14-420,Fauske
L100000602927,way/400655824-300,NOR65p0N13p2E
L100001061380,relation/10308957-300,Oslo
L100001023160,way/883151328-420,Alta
L100001023161,relation/12832053-420,Strand
L100000602928,relation/12832053-420,Strand
L100000602929,relation/8886202-420,Froyland
L100001023162,relation/8836351-300,Bergen
L100000602930,way/114414014-420,Fredrikstad
L100001054800,NO15-420,NOR67p1N15p5E
L100000602931,NO69-420,Voss
L100000602932,relation/8473044-420,MoIRana
L100001022792,NO51-420,Sogndal
L100000602933,NO51-420,Sogndal
L100001023163,NO10-420,NOR68p0N16p4E
L100001023164,relation/7883882-300,Notodden
L100001025766,way/432965765-300,Stord
L100001023165,relation/7847764-420,NOR60p4N8p6E
L100000602934,NO15-420,NOR67p1N15p5E
L100000602935,relation/8886202-420,Froyland
L100000602936,relation/8886202-420,Froyland
L100001056482,relation/7847764-420,NOR60p4N8p6E
L100001056481,NO69-420,Voss
L100000602937,relation/7847764-420,NOR60p4N8p6E
L100000602938,NO60-300,Lindas
L100000602939,NO60-300,Lindas
L100000604282,way/432965765-300,Stord
L100000602940,way/432965765-300,Stord
L100001023166,NO51-420,Sogndal
L100000602941,relation/8527323-420,Stjordalshalsen
L100001054802,way/297388897-300,Ringsaker
L100001056491,relation/7847764-420,NOR60p4N8p6E
L100001023167,relation/8527323-420,Stjordalshalsen
L100001023168,relation/7847764-420,NOR60p4N8p6E
L100000602942,NO60-300,Lindas
L100000602943,NO46-300,NOR61p5N7p6E
L100000602944,relation/8527323-420,Stjordalshalsen
L100000602945,way/265770276-300,Faberg
L100000602946,relation/8473044-420,MoIRana
L100000602947,way/265770276-300,Faberg
L100001023169,way/400655824-300,NOR65p0N13p2E
L100001023170,relation/8527323-420,Stjordalshalsen
L100000602948,relation/7847764-420,NOR60p4N8p6E
L100001022793,way/400655824-300,NOR65p0N13p2E
L100000602949,relation/7847764-420,NOR60p4N8p6E
L100000602950,relation/7847764-420,NOR60p4N8p6E
L100001046193,relation/7847764-420,NOR60p4N8p6E
L100001023172,relation/12832053-420,Strand
L100001061448,relation/7847764-420,NOR60p4N8p6E
L100001061431,NO41-420,Volda
L100001046194,NO51-420,Sogndal
