bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country,bus_name
NO1-420,420,f,Substation,f,NO1,17.7429803048289,68.44255425036224,NO,420,NO,Narvik
NO10-420,420,f,Substation,f,NO10,16.39150500000001,67.96878309793532,NO,420,NO,NOR68p0N16p4E
NO14-420,420,f,Substation,f,NO14,15.999219899999948,67.6034983979019,NO,420,NO,Fauske
NO15-420,420,f,Substation,f,NO15,15.45019179999998,67.11210119785649,NO,420,NO,NOR67p1N15p5E
NO18-420,420,f,Substation,f,NO18,13.905244799999975,66.81166819782824,NO,420,NO,Bodo
NO27-420,420,f,Substation,f,NO27,8.638899362720311,62.84886463528845,NO,420,NO,Kristiansund
NO31-420,420,f,Substation,f,NO31,6.781450499999999,62.46345639735074,NO,420,NO,Alesund
NO41-420,420,f,Substation,f,NO41,5.83293020000001,61.870517697270586,NO,420,NO,Volda
NO46-300,300,f,Substation,f,NO46,7.579235999999994,61.53302419722276,NO,300,NO,NOR61p5N7p6E
NO5-400,400,f,Substation,f,NO5,17.464234150290586,68.08164856428849,NO,400,NO,NOR68p1N17p5E
NO51-420,420,f,Substation,f,NO51,6.53686207955831,61.221398852691294,NO,420,NO,Sogndal
NO60-300,300,f,Substation,f,NO60,5.478204000000013,60.89772739712796,NO,300,NO,Lindas
NO69-420,420,f,Substation,f,NO69,6.7195397,60.50667459706621,NO,420,NO,Voss
NO90-420,420,f,Substation,f,NO90,9.457948001302611,59.231361847007264,NO,420,NO,Skien
relation/10308957-300,300,f,Substation,f,relation/10308957,10.7207909575547,59.95806758250444,NO,300,NO,Oslo
relation/11981383,450,t,Substation,f,relation/11981383,6.865913763398876,58.282510422352445,NO,450,NO,Lyngdal
relation/12832053-420,420,f,Substation,f,relation/12832053,6.654956104800672,59.52990729398316,NO,420,NO,Strand
relation/13989591-300,300,f,Substation,f,relation/13989591,5.316238069958961,59.31761072325926,NO,300,NO,Haugesund
relation/7847764-420,420,f,Substation,f,relation/7847764,8.576666757981386,60.43759241621972,NO,420,NO,NOR60p4N8p6E
relation/7883882-300,300,f,Substation,f,relation/7883882,8.036144306932275,59.448024771517176,NO,300,NO,Notodden
relation/7928148,500,t,Substation,f,relation/7928148,7.900400664968465,58.25974981208866,NO,500,NO,Kristiansand
relation/8473044-420,420,f,Substation,f,relation/8473044,13.783249560908912,66.05087161443245,NO,420,NO,MoIRana
relation/8527323-420,420,f,Substation,f,relation/8527323,11.687439233801031,63.02939217810527,NO,420,NO,Stjordalshalsen
relation/8836351-300,300,f,Substation,f,relation/8836351,5.342035561947889,60.28722942145114,NO,300,NO,Bergen
relation/8886202-420,420,f,Substation,f,relation/8886202,6.664333187029427,59.06058405356041,NO,420,NO,Froyland
relation/8890887,525,t,Substation,f,relation/8890887,6.7544309946114405,58.66906040668477,NO,525,NO,Egersund
way/114414014-420,420,f,Substation,f,way/114414014,10.738862503910772,59.51654999769921,NO,420,NO,Fredrikstad
way/254428135-420,420,f,Substation,f,way/254428135,11.776470045121782,64.47813375524161,NO,420,NO,Namsos
way/257192868-220,220,f,Substation,f,way/257192868,28.54153116697012,70.17188093072797,NO,220,NO,Vadso
way/265770276-300,300,f,Substation,f,way/265770276,9.804870054285397,61.57784018917,NO,300,NO,Faberg
way/287115458-300,300,f,Substation,f,way/287115458,9.84364273959598,59.72003347872525,NO,300,NO,Drammen
way/287685850-420,420,f,Substation,f,way/287685850,10.419312245933238,63.32682059054129,NO,420,NO,Trondheim
way/297388897-300,300,f,Substation,f,way/297388897,10.422128197478315,61.1382818391442,NO,300,NO,Ringsaker
way/358915801-420,420,f,Substation,f,way/358915801,8.72976767832068,58.588295802832285,NO,420,NO,Arendal
way/400567451-220,220,f,Substation,f,way/400567451,27.08902401722485,69.90622604948913,NO,220,NO,NOR69p9N27p1E
way/400655824-300,300,f,Substation,f,way/400655824,13.225783253723597,64.98667888084609,NO,300,NO,NOR65p0N13p2E
way/432965765-300,300,f,Substation,f,way/432965765,6.009577670620721,59.86350352732482,NO,300,NO,Stord
way/572898616-420,420,f,Substation,f,way/572898616,19.20427589845732,69.18982992962874,NO,420,NO,Finnsnes
way/60495669-420,420,f,Substation,f,way/60495669,11.155547713004776,59.314499993066384,NO,420,NO,Sarpsborg
way/883151328-420,420,f,Substation,f,way/883151328,23.21566391376836,69.90510590980621,NO,420,NO,Alta
way/90273427-300,300,f,Substation,f,way/90273427,5.734215455666072,58.81638056035004,NO,300,NO,Stavanger
