GEM location ID,bus_id,bus_name
L100001079012,way/128190689-380,Elbistan
L100001079014,way/177818606-380,Osmaniye
L100001079032,way/128190689-380,Elbistan
L100001079035,way/177818606-380,Osmaniye
L100001079091,way/177818606-380,Osmaniye
L100001079241,way/128190689-380,Elbistan
L100001079102,way/128190689-380,Elbistan
L100001079111,way/128190689-380,Elbistan
L100001079184,way/128190689-380,Elbistan
L100001079239,way/177818606-380,Osmaniye
L100001079250,way/128190689-380,Elbistan
L100001079255,way/128190689-380,Elbistan
L100001079349,way/128190689-380,Elbistan
L100001079378,way/128190689-380,Elbistan
L100001079381,way/128190689-380,Elbistan
L100001079491,way/128190689-380,Elbistan
L100001079420,way/177818606-380,Osmaniye
L100001079424,way/128190689-380,Elbistan
L100001079452,way/177818606-380,Osmaniye
L100001079480,way/128190689-380,Elbistan
L100001079540,way/128190689-380,Elbistan
L100001079559,way/177818606-380,Osmaniye
L100001079586,way/128190689-380,Elbistan
L100001079595,way/128190689-380,Elbistan
L100001079643,way/128190689-380,Elbistan
L100001079800,way/128190689-380,Elbistan
L100001079644,way/128190689-380,Elbistan
L100001079672,way/128190689-380,Elbistan
L100001079695,way/177818606-380,Osmaniye
L100001079749,way/177818606-380,Osmaniye
L100001077890,way/128190689-380,Elbistan
L100001077897,way/128190689-380,Elbistan
L100001077911,way/128190689-380,Elbistan
L100001077918,way/128190689-380,Elbistan
L100001077943,way/177818606-380,Osmaniye
L100001079831,way/128190689-380,Elbistan
L100001079833,way/177818606-380,Osmaniye
L100001079839,way/128190689-380,Elbistan
L100001079910,way/177818606-380,Osmaniye
L100001079935,way/128190689-380,Elbistan
L100001080074,way/128190689-380,Elbistan
L100001079957,way/128190689-380,Elbistan
L100001079981,way/128190689-380,Elbistan
L100001079991,way/128190689-380,Elbistan
L100001080052,way/128190689-380,Elbistan
L100001077944,way/128190689-380,Elbistan
L100001077965,way/128190689-380,Elbistan
L100001077998,way/128190689-380,Elbistan
L100001078008,way/128190689-380,Elbistan
L100001078057,way/128190689-380,Elbistan
L100001078486,way/177818606-380,Osmaniye
L100001078495,way/177818606-380,Osmaniye
L100001078535,way/128190689-380,Elbistan
L100001078597,way/128190689-380,Elbistan
L100001078620,way/177818606-380,Osmaniye
L100001078703,way/128190689-380,Elbistan
L100001078646,way/177818606-380,Osmaniye
L100001078682,way/177818606-380,Osmaniye
L100001078686,way/128190689-380,Elbistan
L100001078696,way/128190689-380,Elbistan
L100001078009,way/128190689-380,Elbistan
L100001078012,way/128190689-380,Elbistan
L100001078038,way/177818606-380,Osmaniye
L100001078040,way/128190689-380,Elbistan
L100001078071,way/128190689-380,Elbistan
L100001078072,way/128190689-380,Elbistan
L100001078073,way/128190689-380,Elbistan
L100001078074,way/128190689-380,Elbistan
L100001078075,way/128190689-380,Elbistan
L100001078185,way/128190689-380,Elbistan
L100001078113,way/128190689-380,Elbistan
L100001078125,way/128190689-380,Elbistan
