bus0,bus1,voltage,s_nom,length,type
way/146791061-380,way/146791215-380,380.0,1698.1026117405274,2125.83,Al/St 240/40 4-bundle 380.0
IT157-380,way/109993642-380,380.0,3396.205223481055,34366.16,Al/St 240/40 4-bundle 380.0
way/1100665914-380,way/109756016-380,380.0,1698.1026117405274,22606.13,Al/St 240/40 4-bundle 380.0
IT54-380,IT61-380,380.0,1698.1026117405274,5466.82,Al/St 240/40 4-bundle 380.0
relation/6277789-380,IT68-380,380.0,1698.1026117405274,7252.13,Al/St 240/40 4-bundle 380.0
IT31-380,way/72466334-380,380.0,1698.1026117405274,9538.7,Al/St 240/40 4-bundle 380.0
IT31-380,IT32-380,380.0,1698.1026117405274,1376.64,Al/St 240/40 4-bundle 380.0
IT32-380,IT31-380,380.0,1698.1026117405274,1375.96,Al/St 240/40 4-bundle 380.0
IT61-380,IT64-380,380.0,1698.1026117405274,1604.77,Al/St 240/40 4-bundle 380.0
IT61-380,IT64-380,380.0,1698.1026117405274,1605.71,Al/St 240/40 4-bundle 380.0
IT67-380,IT68-380,380.0,1698.1026117405274,1298.62,Al/St 240/40 4-bundle 380.0
IT67-380,IT68-380,380.0,1698.1026117405274,1299.08,Al/St 240/40 4-bundle 380.0
IT64-380,IT67-380,380.0,1698.1026117405274,1463.69,Al/St 240/40 4-bundle 380.0
IT36-380,IT34-380,380.0,1698.1026117405274,1470.06,Al/St 240/40 4-bundle 380.0
IT36-380,IT34-380,380.0,1698.1026117405274,1469.61,Al/St 240/40 4-bundle 380.0
IT33-380,IT34-380,380.0,1698.1026117405274,1508.44,Al/St 240/40 4-bundle 380.0
IT34-380,IT33-380,380.0,1698.1026117405274,1507.84,Al/St 240/40 4-bundle 380.0
IT33-380,IT32-380,380.0,1698.1026117405274,1848.87,Al/St 240/40 4-bundle 380.0
IT92-380,IT91-380,380.0,1698.1026117405274,1775.29,Al/St 240/40 4-bundle 380.0
IT91-380,way/105153431-380,380.0,1698.1026117405274,27577.17,Al/St 240/40 4-bundle 380.0
way/93315059-380,way/211180338-380,380.0,1698.1026117405274,10581.96,Al/St 240/40 4-bundle 380.0
way/34157795-380,way/189612607-380,380.0,3396.205223481055,2878.61,Al/St 240/40 4-bundle 380.0
IT42-380,way/41892273-380,380.0,1698.1026117405274,18691.73,Al/St 240/40 4-bundle 380.0
way/58992998-380,IT42-380,380.0,3396.205223481055,7962.92,Al/St 240/40 4-bundle 380.0
way/148969091-380,IT108-380,380.0,3396.205223481055,3752.07,Al/St 240/40 4-bundle 380.0
way/338795626-380,IT142-380,380.0,1698.1026117405274,31021.17,Al/St 240/40 4-bundle 380.0
way/78066534-380,IT108-380,380.0,1698.1026117405274,15235.95,Al/St 240/40 4-bundle 380.0
way/339706880-380,IT138-380,380.0,1698.1026117405274,82838.07,Al/St 240/40 4-bundle 380.0
IT140-380,relation/13844905-380,380.0,3396.205223481055,9027.93,Al/St 240/40 4-bundle 380.0
way/76705565-380,way/172302572-380,380.0,1698.1026117405274,20361.26,Al/St 240/40 4-bundle 380.0
way/392068532-380,way/338792752-380,380.0,1698.1026117405274,32408.65,Al/St 240/40 4-bundle 380.0
way/338453112-380,IT108-380,380.0,1698.1026117405274,20865.25,Al/St 240/40 4-bundle 380.0
relation/4816679-380,way/41360305-380,380.0,1698.1026117405274,94432.52,Al/St 240/40 4-bundle 380.0
way/110138220-380,way/157912118-380,380.0,1698.1026117405274,27581.46,Al/St 240/40 4-bundle 380.0
IT30-500,IT46-500,500.0,2234.345541763852,24022.05,Al/St 240/40 4-bundle 380.0
IT156-380,IT157-380,380.0,1698.1026117405274,1086.15,Al/St 240/40 4-bundle 380.0
way/109997676-380,IT157-380,380.0,1698.1026117405274,15090.34,Al/St 240/40 4-bundle 380.0
IT137-380,way/61626687-380,380.0,1698.1026117405274,37764.56,Al/St 240/40 4-bundle 380.0
way/1137611914-380,IT139-380,380.0,3396.205223481055,59883.95,Al/St 240/40 4-bundle 380.0
IT10-380,IT9-380,380.0,1698.1026117405274,1495.0,Al/St 240/40 4-bundle 380.0
way/41892273-380,way/590522266-380,380.0,3396.205223481055,21039.52,Al/St 240/40 4-bundle 380.0
way/590522266-380,way/59462263-380,380.0,3396.205223481055,18516.46,Al/St 240/40 4-bundle 380.0
way/60235685-380,way/392068532-380,380.0,1698.1026117405274,12057.8,Al/St 240/40 4-bundle 380.0
way/98902899-380,IT92-380,380.0,1698.1026117405274,24219.33,Al/St 240/40 4-bundle 380.0
way/653230504-380,IT145-380,380.0,1698.1026117405274,4222.67,Al/St 240/40 4-bundle 380.0
way/653230504-380,IT145-380,380.0,1698.1026117405274,4192.52,Al/St 240/40 4-bundle 380.0
way/83058212-380,way/891280888-380,380.0,3396.205223481055,9308.89,Al/St 240/40 4-bundle 380.0
IT143-380,way/209982720-380,380.0,1698.1026117405274,45228.86,Al/St 240/40 4-bundle 380.0
way/209982720-380,IT142-380,380.0,1698.1026117405274,24476.02,Al/St 240/40 4-bundle 380.0
way/303965869-380,way/110310021-380,380.0,1698.1026117405274,12140.31,Al/St 240/40 4-bundle 380.0
way/891280888-380,IT143-380,380.0,3396.205223481055,5409.67,Al/St 240/40 4-bundle 380.0
way/257351439-380,way/338795626-380,380.0,1698.1026117405274,34726.66,Al/St 240/40 4-bundle 380.0
IT9-380,IT10-380,380.0,1698.1026117405274,1492.95,Al/St 240/40 4-bundle 380.0
IT10-380,IT9-380,380.0,1698.1026117405274,1492.12,Al/St 240/40 4-bundle 380.0
IT161-380,way/1097982502-380,380.0,1698.1026117405274,4446.14,Al/St 240/40 4-bundle 380.0
way/1097982502-380,IT160-380,380.0,1698.1026117405274,2866.64,Al/St 240/40 4-bundle 380.0
IT152-380,way/1098087457-380,380.0,1698.1026117405274,1579.02,Al/St 240/40 4-bundle 380.0
way/199676823-380,way/1100665914-380,380.0,1698.1026117405274,18805.17,Al/St 240/40 4-bundle 380.0
IT139-380,relation/13844905-380,380.0,3396.205223481055,7498.39,Al/St 240/40 4-bundle 380.0
IT27-380,IT29-380,380.0,1698.1026117405274,2102.27,Al/St 240/40 4-bundle 380.0
way/61157826-380,way/1117128898-380,380.0,1698.1026117405274,18001.62,Al/St 240/40 4-bundle 380.0
way/61626687-380,relation/13844905-380,380.0,1698.1026117405274,42456.17,Al/St 240/40 4-bundle 380.0
way/1117128898-380,IT159-380,380.0,1698.1026117405274,20894.31,Al/St 240/40 4-bundle 380.0
way/103264820-380,way/62326314-380,380.0,1698.1026117405274,14956.52,Al/St 240/40 4-bundle 380.0
way/1103579629-380,way/155590373-380,380.0,3396.205223481055,30960.56,Al/St 240/40 4-bundle 380.0
way/109997676-380,IT158-380,380.0,1698.1026117405274,6795.89,Al/St 240/40 4-bundle 380.0
way/109997676-380,IT158-380,380.0,1698.1026117405274,6794.61,Al/St 240/40 4-bundle 380.0
way/109997676-380,IT158-380,380.0,1698.1026117405274,7001.11,Al/St 240/40 4-bundle 380.0
IT158-380,way/109997676-380,380.0,1698.1026117405274,6807.32,Al/St 240/40 4-bundle 380.0
way/157912118-380,IT158-380,380.0,1698.1026117405274,1560.23,Al/St 240/40 4-bundle 380.0
way/82084013-380,way/181125039-380,380.0,1698.1026117405274,2643.98,Al/St 240/40 4-bundle 380.0
way/146791215-380,way/432729521-380,380.0,1698.1026117405274,2203.78,Al/St 240/40 4-bundle 380.0
way/104239352-380,way/98421779-380,380.0,1698.1026117405274,1617.72,Al/St 240/40 4-bundle 380.0
way/110660048-380,way/155590373-380,380.0,3396.205223481055,2984.68,Al/St 240/40 4-bundle 380.0
way/1103579629-380,way/591027058-380,380.0,3396.205223481055,2154.19,Al/St 240/40 4-bundle 380.0
IT7-380,way/72466334-380,380.0,3396.205223481055,56467.13,Al/St 240/40 4-bundle 380.0
way/338453112-380,way/82084019-380,380.0,1698.1026117405274,61904.73,Al/St 240/40 4-bundle 380.0
way/338453112-380,way/139442467-380,380.0,3396.205223481055,43908.38,Al/St 240/40 4-bundle 380.0
way/139442467-380,way/81931074-380,380.0,3396.205223481055,71529.84,Al/St 240/40 4-bundle 380.0
IT7-380,way/42206116-380,380.0,1698.1026117405274,118231.07,Al/St 240/40 4-bundle 380.0
way/75602396-380,way/72466334-380,380.0,3396.205223481055,33621.25,Al/St 240/40 4-bundle 380.0
IT21-380,way/72570378-380,380.0,3396.205223481055,1426.99,Al/St 240/40 4-bundle 380.0
IT21-380,way/72570378-380,380.0,3396.205223481055,1434.74,Al/St 240/40 4-bundle 380.0
way/72570378-380,IT6-380,380.0,1698.1026117405274,59532.89,Al/St 240/40 4-bundle 380.0
IT21-380,way/72570378-380,380.0,3396.205223481055,1434.74,Al/St 240/40 4-bundle 380.0
IT21-380,way/72570378-380,380.0,3396.205223481055,1426.99,Al/St 240/40 4-bundle 380.0
way/105153431-380,way/74869121-380,380.0,1698.1026117405274,21111.23,Al/St 240/40 4-bundle 380.0
way/105153431-380,way/103974940-380,380.0,1698.1026117405274,5624.54,Al/St 240/40 4-bundle 380.0
way/60235685-380,way/411026199-380,380.0,1698.1026117405274,14344.48,Al/St 240/40 4-bundle 380.0
way/108020416-380,way/338790588-380,380.0,1698.1026117405274,36573.62,Al/St 240/40 4-bundle 380.0
way/208398923-380,way/148969091-380,380.0,1698.1026117405274,29466.66,Al/St 240/40 4-bundle 380.0
way/116517585-380,way/208398923-380,380.0,1698.1026117405274,92779.55,Al/St 240/40 4-bundle 380.0
way/74869121-380,way/98421779-380,380.0,1698.1026117405274,21821.92,Al/St 240/40 4-bundle 380.0
way/105581403-380,way/74869121-380,380.0,1698.1026117405274,9172.33,Al/St 240/40 4-bundle 380.0
way/74869121-380,way/162828577-380,380.0,1698.1026117405274,75497.12,Al/St 240/40 4-bundle 380.0
way/105757794-380,way/107681459-380,380.0,1698.1026117405274,99703.24,Al/St 240/40 4-bundle 380.0
way/98421779-380,way/98427149-380,380.0,1698.1026117405274,65155.08,Al/St 240/40 4-bundle 380.0
way/100952845-380,way/98427149-380,380.0,1698.1026117405274,38309.97,Al/St 240/40 4-bundle 380.0
