bus_id,voltage,dc,symbol,under_construction,tags,x,y,country
IT1-220,220,f,Substation,f,IT1,10.712113800000004,46.62116209179647,IT
IT10-220,220,f,Substation,f,IT10,10.090247799999991,46.11484179144843,IT
IT100-220,220,f,Substation,f,IT100,11.366105799999994,44.26636269007261,IT
IT101-220,220,f,Substation,f,IT101,8.359481100000005,44.25046909006012,IT
IT102-380,380,f,Substation,f,IT102,7.42326665542888,44.24868437231142,IT
IT103-220,220,f,Substation,f,IT103,10.02766900000001,44.14617748997758,IT
IT104-220,220,f,Substation,f,IT104,8.174941200000003,44.04043418989338,IT
IT105-220,220,f,Substation,f,IT105,8.163754600000004,44.031153989886,IT
IT106-220,220,f,Substation,f,IT106,8.087569999999998,43.97425118984045,IT
IT107-220,220,f,Substation,f,IT107,8.069055200000003,43.9643321898325,IT
IT108-220,220,f,Substation,f,IT108,8.058406500000002,43.958011689827416,IT
IT109-220,220,f,Substation,f,IT109,8.042262199999998,43.94416248981635,IT
IT11-220,220,f,Substation,f,IT11,11.045702199999996,46.0896590914308,IT
IT110-220,220,f,Substation,f,IT110,7.867453900000002,43.87191318975819,IT
IT111-220,220,f,Substation,f,IT111,7.850084899999998,43.87138878975775,IT
IT112-220,220,f,Substation,f,IT112,7.818751799999999,43.86756038975464,IT
IT113-220,220,f,Substation,f,IT113,7.793982100000004,43.86206248975023,IT
IT115-220,220,f,Substation,f,IT115,10.916762848295932,43.2622630396026,IT
IT116-220,220,f,Substation,f,IT116,10.8905729,43.23477558923537,IT
IT117-220,220,f,Substation,f,IT117,13.474438299999994,42.85228058891289,IT
IT118-380,380,f,Substation,f,IT118,13.4627135,42.84781748890908,IT
IT119-380,380,f,Substation,f,IT119,12.715949700000008,42.62699128871999,IT
IT12-220,220,f,Substation,f,IT12,13.303232700137126,46.08230774144818,IT
IT120-380,380,f,Substation,f,IT120,14.120458623496168,42.33906929924513,IT
IT121-380,380,f,Substation,f,IT121,14.1224002,42.32590438845883,IT
IT122-380,380,f,Substation,f,IT122,12.446948299999995,42.181354888332095,IT
IT123-380,380,f,Substation,f,IT123,12.523717649009772,42.05131665456088,IT
IT124-380,380,f,Substation,f,IT124,15.4846216,41.46733458769393,IT
IT125-380,380,f,Substation,f,IT125,14.839435699999989,41.17050178742284,IT
IT126-220,220,f,Substation,f,IT126,14.3558166,41.04047358730304,IT
IT127-380,380,f,Substation,f,IT127,15.665397096561373,41.02495150182229,IT
IT128-220,220,f,Substation,f,IT128,14.3985245,40.96788888723591,IT
IT129-220,220,f,Substation,f,IT129,14.358549700000005,40.84959328712608,IT
IT13-380,380,f,Substation,f,IT13,8.733936492746906,46.069639712168495,IT
IT130-220,220,f,Substation,f,IT130,14.771347100000009,40.70849808699448,IT
IT131-380,380,f,Substation,f,IT131,8.571038999999997,40.606248386898656,IT
IT132-380,380,f,Substation,f,IT132,8.58729550000001,40.59562758688867,IT
IT133-220,220,f,Substation,f,IT133,17.496454450073905,40.59018063860866,IT
IT134-380,380,f,Substation,f,IT134,16.267745699999992,40.51859728681619,IT
IT135-220,220,f,Substation,f,IT135,16.02605061539139,39.96450862553312,IT
IT136-380,380,f,Substation,f,IT136,16.200523799999992,39.78843718611972,IT
IT137-220,220,f,Substation,f,IT137,16.339307999999996,39.64663688598248,IT
IT138-380,380,f,Substation,f,IT138,15.787626399999994,38.2331469845853,IT
IT139-380,380,f,Substation,f,IT139,15.799277299999988,38.22986968458198,IT
IT14-220,220,f,Substation,f,IT14,9.537790699999997,46.06490619141335,IT
IT140-380,380,f,Substation,f,IT140,15.5658283,38.21587538456789,IT
IT141-380,380,f,Substation,f,IT141,15.0630771,37.28093388361947,IT
IT142-380,380,f,Substation,f,IT142,14.737804400000003,37.23905998357661,IT
IT143-380,380,f,Substation,f,IT143,14.71281,37.20020358353686,IT
IT15-220,220,f,Substation,f,IT15,10.04736893935458,46.06071718818427,IT
IT16-220,220,f,Substation,f,IT16,10.0272589,46.04869699140202,IT
IT17-220,220,f,Substation,f,IT17,11.117751266854794,46.04304255437799,IT
IT18-220,220,f,Substation,f,IT18,11.934609286179,46.031943946794826,IT
IT19-380,380,f,Substation,f,IT19,13.133622899999994,46.01509979137839,IT
IT2-220,220,f,Substation,f,IT2,11.362168000000004,46.4624827916887,IT
IT20-220,220,f,Substation,f,IT20,9.457166899999995,45.99948179136737,IT
IT21-380,380,f,Substation,f,IT21,13.139046500000005,45.9970519913656,IT
IT23-380,380,f,Substation,f,IT23,10.3424642,45.96671759134422,IT
IT24-380,380,f,Substation,f,IT24,10.337493300000002,45.954820491335816,IT
IT25-380,380,f,Substation,f,IT25,10.339536100000007,45.93861179132429,IT
IT26-380,380,f,Substation,f,IT26,10.346253320381155,45.92586644468105,IT
IT27-220,220,f,Substation,f,IT27,10.843612532641258,45.92424948856539,IT
IT28-380,380,f,Substation,f,IT28,10.352798499999992,45.91344399130646,IT
IT29-220,220,f,Substation,f,IT29,12.680951387650238,45.91107665184399,IT
IT3-380,380,f,Substation,f,IT3,9.298394199999995,46.32203769159238,IT
IT30-220,220,f,Substation,f,IT30,10.875148970159469,45.89984591604834,IT
IT31-220,220,f,Substation,f,IT31,12.711471800000004,45.89403179129267,IT
IT33-220,220,f,Substation,f,IT33,12.391608900000003,45.86415929127141,IT
IT34-380,380,f,Substation,f,IT34,13.236171299999995,45.85107289126213,IT
IT36-220,220,f,Substation,f,IT36,12.495938474272268,45.809953426816165,IT
IT38-220,220,f,Substation,f,IT38,12.432157100000005,45.79707759122357,IT
IT39-220,220,f,Substation,f,IT39,13.572690900000008,45.7968863912234,IT
IT4-380,380,f,Substation,f,IT4,9.313391500000003,46.313551291586485,IT
IT42-220,220,f,Substation,f,IT42,10.990147364000991,45.75679478756164,IT
IT43-380,380,f,Substation,f,IT43,9.3280345,45.74228939118432,IT
IT44-380,380,f,Substation,f,IT44,10.3080123,45.73775769118102,IT
IT45-380,380,f,Substation,f,IT45,10.302113799999995,45.728144891174125,IT
IT46-220,220,f,Substation,f,IT46,10.645283999999991,45.72278559117034,IT
IT47-220,220,f,Substation,f,IT47,7.658080000000003,45.70706609115896,IT
IT48-220,220,f,Substation,f,IT48,11.714181499999995,45.70584739115809,IT
IT49-220,220,f,Substation,f,IT49,10.6133311,45.693153091149,IT
IT5-220,220,f,Substation,f,IT5,8.362882899999995,46.29442459157332,IT
IT50-220,220,f,Substation,f,IT50,8.61731389999999,45.689449591146285,IT
IT51-380,380,f,Substation,f,IT51,10.30333369999999,45.678928091138765,IT
