from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
12,renewable,9,generation,4468.691083527704,1.0,500.0,665.5207333793705,sol12,gen9,Renewable cluster 12 to Generation cluster 9,,,,,665.5207333793705,0.0,0.0,False,[]
15,renewable,1,demand,87139.47612879022,30.0,500.0,73.15018740549344,sol15,dem1,Renewable cluster 15 to Demand cluster 1,,,,,73.15018740549344,0.0,0.0,False,[]
16,renewable,1,demand,49155.60191880474,20.0,500.0,81.38364821445661,sol16,dem1,Renewable cluster 16 to Demand cluster 1,,,,,81.38364821445661,0.0,0.0,False,[]
17,renewable,1,demand,13406.073250583111,4.0,500.0,74.24728936117066,sol17,dem1,Renewable cluster 17 to Demand cluster 1,,,,,74.24728936117066,0.0,0.0,False,[]
18,renewable,0,generation,6703.0366252915555,2.0,500.0,414.8654418114903,sol18,gen0,Renewable cluster 18 to Generation cluster 0,,,,,414.8654418114903,0.0,0.0,False,[]
18,renewable,2,demand,4468.691083527704,2.0,500.0,558.6994119663054,sol18,dem2,Renewable cluster 18 to Demand cluster 2,,,,,558.6994119663054,0.0,0.0,False,[]
19,renewable,1,demand,13406.073250583113,5.0,500.0,205.21392991623162,sol19,dem1,Renewable cluster 19 to Demand cluster 1,,,,,205.21392991623162,0.0,0.0,False,[]
20,renewable,1,demand,6703.0366252915555,2.0,500.0,282.1878294027944,sol20,dem1,Renewable cluster 20 to Demand cluster 1,,,,,282.1878294027944,0.0,0.0,False,[]
21,renewable,0,generation,31280.837584693927,8.0,500.0,366.2364379712985,sol21,gen0,Renewable cluster 21 to Generation cluster 0,,,,,366.2364379712985,0.0,0.0,False,[]
21,renewable,1,demand,4468.691083527704,1.0,500.0,393.2319344473923,sol21,dem1,Renewable cluster 21 to Demand cluster 1,,,,,393.2319344473923,0.0,0.0,False,[]
21,renewable,2,demand,8937.382167055408,3.0,500.0,361.672391010225,sol21,dem2,Renewable cluster 21 to Demand cluster 2,,,,,361.672391010225,0.0,0.0,False,[]
23,renewable,6,generation,4468.691083527704,1.0,500.0,359.36683005147535,sol23,gen6,Renewable cluster 23 to Generation cluster 6,,,,,359.36683005147535,0.0,0.0,False,[]
23,renewable,8,demand,521814.94679627573,96.0,630.2083333333334,242.88207779451318,sol23,dem8,Renewable cluster 23 to Demand cluster 8,,,,,242.88207779451318,0.0,0.0,False,[]
23,renewable,8,generation,4468.691083527704,2.0,500.0,522.4939870572344,sol23,gen8,Renewable cluster 23 to Generation cluster 8,,,,,522.4939870572344,0.0,0.0,False,[]
24,renewable,8,demand,6703.0366252915555,2.0,500.0,117.48160000475643,sol24,dem8,Renewable cluster 24 to Demand cluster 8,,,,,117.48160000475643,0.0,0.0,False,[]
25,renewable,6,generation,8937.382167055408,3.0,500.0,286.0571830280712,sol25,gen6,Renewable cluster 25 to Generation cluster 6,,,,,286.0571830280712,0.0,0.0,False,[]
25,renewable,8,demand,20109.109875874667,8.0,500.0,356.6412624073914,sol25,dem8,Renewable cluster 25 to Demand cluster 8,,,,,356.6412624073914,0.0,0.0,False,[]
26,renewable,8,demand,20109.109875874667,6.0,500.0,137.1839486392458,sol26,dem8,Renewable cluster 26 to Demand cluster 8,,,,,137.1839486392458,0.0,0.0,False,[]
27,renewable,8,demand,138529.42358935883,45.0,500.0,133.05182819906022,sol27,dem8,Renewable cluster 27 to Demand cluster 8,,,,,133.05182819906022,0.0,0.0,False,[]
29,renewable,3,demand,29046.492042930076,10.0,500.0,246.68140114118145,sol29,dem3,Renewable cluster 29 to Demand cluster 3,,,,,246.68140114118145,0.0,0.0,False,[]
31,renewable,1,demand,15640.418792346965,6.0,500.0,448.0049082879912,sol31,dem1,Renewable cluster 31 to Demand cluster 1,,,,,448.0049082879912,0.0,0.0,False,[]
31,renewable,2,demand,6703.0366252915555,2.0,500.0,458.3476196143024,sol31,dem2,Renewable cluster 31 to Demand cluster 2,,,,,458.3476196143024,0.0,0.0,False,[]
31,renewable,3,demand,4468.691083527704,2.0,500.0,500.671287302682,sol31,dem3,Renewable cluster 31 to Demand cluster 3,,,,,500.671287302682,0.0,0.0,False,[]
31,renewable,3,generation,11171.72770881926,4.0,500.0,528.4022861513621,sol31,gen3,Renewable cluster 31 to Generation cluster 3,,,,,528.4022861513621,0.0,0.0,False,[]
32,renewable,2,demand,75967.74841997097,25.0,500.0,196.63846477651293,sol32,dem2,Renewable cluster 32 to Demand cluster 2,,,,,196.63846477651293,0.0,0.0,False,[]
32,renewable,3,generation,2234.345541763852,1.0,500.0,434.13205112003783,sol32,gen3,Renewable cluster 32 to Generation cluster 3,,,,,434.13205112003783,0.0,0.0,False,[]
34,renewable,1,demand,42452.56529351319,16.0,500.0,349.1478524948745,sol34,dem1,Renewable cluster 34 to Demand cluster 1,,,,,349.1478524948745,0.0,0.0,False,[]
35,renewable,1,demand,57154.21254815782,22.0,513.6363636363636,318.90128655279034,sol35,dem1,Renewable cluster 35 to Demand cluster 1,,,,,318.90128655279034,0.0,0.0,False,[]
36,renewable,3,demand,15640.418792346964,6.0,500.0,305.5419400476245,sol36,dem3,Renewable cluster 36 to Demand cluster 3,,,,,305.5419400476245,0.0,0.0,False,[]
38,renewable,8,demand,122889.00479701186,39.0,500.0,321.6174004425894,sol38,dem8,Renewable cluster 38 to Demand cluster 8,,,,,321.6174004425894,0.0,0.0,False,[]
39,renewable,6,generation,8937.382167055408,2.0,500.0,386.8531188611207,sol39,gen6,Renewable cluster 39 to Generation cluster 6,,,,,386.8531188611207,0.0,0.0,False,[]
39,renewable,8,demand,70269.30126306936,20.0,550.0,512.2297819436668,sol39,dem8,Renewable cluster 39 to Demand cluster 8,,,,,512.2297819436668,0.0,0.0,False,[]
40,renewable,3,generation,8937.382167055408,4.0,500.0,463.1528673603798,sol40,gen3,Renewable cluster 40 to Generation cluster 3,,,,,463.1528673603798,0.0,0.0,False,[]
