bus_id,station_id,x,y,tags,voltage
dem6,dem6,114.75769026198014,23.672868960805413,demand6,300
dem8,dem8,119.34370573963659,31.210145115785945,demand8,300
dem0,dem0,116.74736148148146,38.95769444444444,demand0,300
dem1,dem1,105.54812421187897,29.41002707820736,demand1,300
dem9,dem9,111.48536021505377,35.941212903225804,demand9,300
dem2,dem2,113.23177384482901,29.003567605705868,demand2,300
dem5,dem5,125.90586666666665,44.683257264957255,demand5,300
dem3,dem3,109.92999830391634,22.509479282165113,demand3,300
dem4,dem4,100.52417799999999,25.219247,demand4,300
dem7,dem7,103.77904438202248,36.00902865168539,demand7,300
gen0,gen0,112.14067764863971,32.21022487453141,generation0,300
gen1,gen1,95.05201238405841,40.29347071957688,generation1,300
gen2,gen2,112.5811654505073,39.86872644553262,generation2,300
gen3,gen3,112.68480953813685,23.42230969790594,generation3,300
gen4,gen4,123.9353356067903,44.38221175707739,generation4,300
gen5,gen5,102.55692204917524,27.423868375154036,generation5,300
gen6,gen6,119.52821210990605,30.08444692896047,generation6,300
gen7,gen7,85.64342095189195,43.039525925105906,generation7,300
gen8,gen8,118.41537885337888,37.63731319274054,generation8,300
gen9,gen9,105.22461741714137,37.52924334243912,generation9,300
sol1,sol1,114.29073683731085,34.08483254868982,solar1,300
sol2,sol2,110.72204447239052,32.43842955322979,solar2,300
sol3,sol3,111.13154852635355,34.06644645163201,solar3,300
sol4,sol4,112.39508539043442,31.63838390742621,solar4,300
sol5,sol5,114.6842882039111,30.901741662744993,solar5,300
sol6,sol6,114.60293268714454,32.23689962780909,solar6,300
sol7,sol7,114.88358681060744,29.194840689261575,solar7,300
sol8,sol8,111.53918228929894,29.417231504221913,solar8,300
sol9,sol9,112.69075347928641,29.497227463301794,solar9,300
sol10,sol10,105.0446912944763,30.518141587638596,solar10,300
sol11,sol11,103.7805330128949,30.179000020101018,solar11,300
sol12,sol12,104.77944852246512,31.555290277765803,solar12,300
sol13,sol13,106.63450994826073,31.17176079396868,solar13,300
sol14,sol14,106.86022490331654,32.3318465978561,solar14,300
sol15,sol15,105.98961588405481,29.944482083192977,solar15,300
sol16,sol16,104.8297306146016,29.032417407513908,solar16,300
sol17,sol17,105.85126515441213,28.797083879143955,solar17,300
sol18,sol18,107.95556299788632,31.1004977270813,solar18,300
sol19,sol19,107.38513209828669,30.34217396730598,solar19,300
sol20,sol20,107.69668251941779,27.71303133169292,solar20,300
sol21,sol21,109.59662911335757,29.742007021387444,solar21,300
sol22,sol22,109.56222726294037,28.193406528428937,solar22,300
sol23,sol23,117.80781489762046,32.96461069908971,solar23,300
sol24,sol24,118.61691728271738,32.06653945068034,solar24,300
sol25,sol25,117.03997904498036,28.69926599175804,solar25,300
sol26,sol26,118.06863340741569,30.639454708076695,solar26,300
sol27,sol27,120.71363554445682,31.46040358116679,solar27,300
sol28,sol28,120.49347929780795,29.874435412506568,solar28,300
sol29,sol29,109.50317839732183,24.693195610011276,solar29,300
sol30,sol30,111.45657885135023,25.514943180966448,solar30,300
