bus0,bus1,voltage,s_nom,r,x,b,length,type
way/169244940-220,way/23284340-220,220,491.556,1.650715,8.281088,0.00010804,27511.92,Al/St 240/40 2-bundle 220.0
way/207248812-220,way/46584363-220,220,491.556,0.569634,2.857664,3.73e-05,9493.9,Al/St 240/40 2-bundle 220.0
way/23881272-220,way/42410916-220,220,1474.668,0.184979,0.927977,0.00010896,9248.94,Al/St 240/40 2-bundle 220.0
way/254326606-380,DE182-380,380,3396.205,0.078076,0.640222,4.51e-05,5205.06,Al/St 240/40 4-bundle 380.0
DE94-380,way/42797575-380,380,3396.205,0.047587,0.390213,2.75e-05,3172.46,Al/St 240/40 4-bundle 380.0
way/151967291-220,way/42097854-220,220,491.556,1.176835,5.90379,7.7e-05,19613.92,Al/St 240/40 2-bundle 220.0
way/600395952-220,way/156402422-220,220,983.112,2.721534,13.65303,0.0007125,90717.81,Al/St 240/40 2-bundle 220.0
way/600395952-380,way/152107815-380,380,3396.205,0.742192,6.085976,0.00042903,49479.48,Al/St 240/40 4-bundle 380.0
way/152403632-220,DE148-220,220,491.556,0.443528,2.225031,2.9e-05,7392.13,Al/St 240/40 2-bundle 220.0
DE156-380,way/160584794-380,380,3396.205,0.596263,4.889355,0.00034467,39750.85,Al/St 240/40 4-bundle 380.0
way/152973139-220,way/207248812-220,220,983.112,0.365678,1.834484,9.57e-05,12189.26,Al/St 240/40 2-bundle 220.0
way/259561755-380,way/152924498-380,380,1698.103,0.592192,4.855978,8.56e-05,19739.75,Al/St 240/40 4-bundle 380.0
way/600395952-380,way/149987048-380,380,3396.205,0.252485,2.070375,0.00014595,16832.32,Al/St 240/40 4-bundle 380.0
way/600395952-220,DE174-220,220,983.112,0.274321,1.376177,7.18e-05,9144.03,Al/St 240/40 2-bundle 220.0
way/152973139-220,way/160929097-220,220,983.112,0.416611,2.089998,0.00010907,13887.03,Al/St 240/40 2-bundle 220.0
DE80-220,way/28452784-220,220,983.112,0.323085,1.620811,8.46e-05,10769.51,Al/St 240/40 2-bundle 220.0
way/35818137-220,way/24478889-220,220,983.112,0.176866,0.887277,4.63e-05,5895.53,Al/St 240/40 2-bundle 220.0
DE197-380,way/26260052-380,380,3396.205,0.118803,0.974188,6.87e-05,7920.23,Al/St 240/40 4-bundle 380.0
way/940922557-380,way/29331499-380,380,3396.205,0.928205,7.611282,0.00053655,61880.34,Al/St 240/40 4-bundle 380.0
way/274630377-380,way/456386244-380,380,3396.205,0.676548,5.54769,0.00039108,45103.17,Al/St 240/40 4-bundle 380.0
