bus_id,voltage,dc,symbol,under_construction,tags,x,y,country
DE1-220,220,f,Substation,f,DE1,13.677140000000009,54.81728079576386,DE
DE10-380,380,f,Substation,f,DE10,9.55273434158658,53.56351078676104,DE
DE100-220,220,f,Substation,f,DE100,7.135589007277195,51.41706529105013,DE
DE100-380,380,f,Substation,f,DE100,7.135881813553114,51.417263265710986,DE
DE102-220,220,f,Substation,f,DE102,7.244493852789926,51.40074485119219,DE
DE102-380,380,f,Substation,f,DE102,7.244787024633815,51.40094255459367,DE
DE103-380,380,f,Substation,f,DE103,11.949096496471162,51.40012244621311,DE
DE104-380,380,f,Substation,f,DE104,8.907932800000003,51.39009809446736,DE
DE105-220,220,f,Substation,f,DE105,7.189059400000002,51.37620589446112,DE
DE106-220,220,f,Substation,f,DE106,6.703512700000003,51.3705244944586,DE
DE107-220,220,f,Substation,f,DE107,6.709224388263882,51.36152847483574,DE
DE107-380,380,f,Substation,f,DE107,6.7095150123574845,51.36172750834762,DE
DE108-220,220,f,Substation,f,DE108,9.644376,51.357485994452695,DE
DE109-220,220,f,Substation,f,DE109,7.59728974680657,51.34823073723956,DE
DE11-380,380,f,Substation,f,DE11,9.524278467525209,53.54646033541849,DE
DE110-220,220,f,Substation,f,DE110,6.721174529260266,51.34265578686514,DE
DE110-380,380,f,Substation,f,DE110,6.721465088084146,51.34285479107073,DE
DE111-380,380,f,Substation,f,DE111,6.821038505957257,51.341401801176325,DE
DE112-380,380,f,Substation,f,DE112,6.792451300000009,51.326061694438536,DE
DE113-220,220,f,Substation,f,DE113,6.522731399999995,51.322488094436885,DE
DE114-380,380,f,Substation,f,DE114,6.588194200000004,51.28422529441954,DE
DE117-380,380,f,Substation,f,DE117,6.657492900000003,51.19155419437732,DE
DE118-220,220,f,Substation,f,DE118,6.879764699999999,51.18915739437622,DE
DE119-380,380,f,Substation,f,DE119,12.408075831321682,51.178106428245,DE
DE12-380,380,f,Substation,f,DE12,9.951962864359867,53.4895990880549,DE
DE121-380,380,f,Substation,f,DE121,9.095729600000004,51.1638940943646,DE
DE122-220,220,f,Substation,f,DE122,6.935751400000001,51.14209109435459,DE
DE124-380,380,f,Substation,f,DE124,6.910996700000006,51.11766229434339,DE
DE125-220,220,f,Substation,f,DE125,6.62170786954754,51.05444962416899,DE
DE125-380,380,f,Substation,f,DE125,6.621996234564668,51.05464887830735,DE
DE126-220,220,f,Substation,f,DE126,6.962914360066468,51.05087051423142,DE
DE127-380,380,f,Substation,f,DE127,6.659123618464068,51.03709977986417,DE
DE128-380,380,f,Substation,f,DE128,6.634290410632012,51.034170776226574,DE
DE129-220,220,f,Substation,f,DE129,6.854151100000001,51.02386209429996,DE
DE13-380,380,f,Substation,f,DE13,9.388690700000016,53.33842049526152,DE
DE130-380,380,f,Substation,f,DE130,6.959112100000008,51.02029029429831,DE
DE131-220,220,f,Substation,f,DE131,6.699473899999996,50.974868294277066,DE
DE132-220,220,f,Substation,f,DE132,7.969504899999993,50.95411029426735,DE
DE133-380,380,f,Substation,f,DE133,6.213656042172725,50.94372875610752,DE
DE134-380,380,f,Substation,f,DE134,11.42968684962458,50.91163214434886,DE
DE135-220,220,f,Substation,f,DE135,8.100716699999996,50.87100909422831,DE
DE136-380,380,f,Substation,f,DE136,6.648156300000003,50.867163794226514,DE
DE137-220,220,f,Substation,f,DE137,7.941187924212056,50.84796440422477,DE
DE137-380,380,f,Substation,f,DE137,7.941480603896606,50.84816037295551,DE
DE138-220,220,f,Substation,f,DE138,6.894042364775366,50.847830198716814,DE
DE138-380,380,f,Substation,f,DE138,6.894330635829885,50.84802878375587,DE
DE139-220,220,f,Substation,f,DE139,6.926703077554244,50.83784972317656,DE
DE139-380,380,f,Substation,f,DE139,6.926991426472784,50.83804822752893,DE
DE14-380,380,f,Substation,f,DE14,9.383779699999996,53.3146738952528,DE
DE140-380,380,f,Substation,f,DE140,7.942134900000002,50.83695639421218,DE
DE141-380,380,f,Substation,f,DE141,6.323187901841849,50.83602329116607,DE
DE142-380,380,f,Substation,f,DE142,12.742504600000006,50.823208294205685,DE
