bus0,bus1,voltage,s_nom,length,type,geometry
way/749676336-300,relation/9032385-300,300.0,1005.455,6528.63,Al/St 240/40 3-bundle 300.0,"LINESTRING (10.558026444673699 59.9267164711536, 10.567682988241888 59.92731246438209, 10.569482 59.9276805, 10.5734181 59.9284688, 10.5787101 59.9295365, 10.5824438 59.9302865, 10.5853231 59.930864, 10.5905105 59.9319059, 10.5951762 59.9328358, 10.5987664 59.9330676, 10.6031303 59.9333572, 10.6067929 59.9336058, 10.6120889 59.933968, 10.6153236 59.9341971, 10.6189392 59.934447, 10.6221136 59.9348737, 10.6250788 59.9352721, 10.6271937 59.9355546, 10.6303644 59.9359946, 10.6311849 59.9361085, 10.6365614 59.936859, 10.6387172 59.9379577, 10.6406383 59.9389436, 10.6433809 59.9390195, 10.6454636 59.9390756, 10.6471346 59.9391186, 10.6490296 59.9384223, 10.6520042 59.937336, 10.6539451 59.9366306, 10.658406409744407 59.936264451385306, 10.667719434832179 59.93493704090485)"
way/118231876-300,relation/8847096-300,300.0,1005.455,49424.3,Al/St 240/40 3-bundle 300.0,"LINESTRING (5.334456378313149 59.3789266634663, 5.34040081263581 59.38391930252351, 5.3439662 59.3873626, 5.3446019 59.3900853, 5.345424 59.3935992, 5.3462568 59.3971551, 5.3477789 59.4015939, 5.3484857 59.4036766, 5.3497691 59.4074478, 5.3508353 59.4105484, 5.3539373 59.4150032, 5.3562641 59.418361, 5.3595217 59.4216619, 5.3621019 59.4242727, 5.3644851 59.4266971, 5.366026 59.4282653, 5.3658114 59.4316116, 5.3655486 59.4355876, 5.3652066 59.440901, 5.3649183 59.4454514, 5.3647533 59.4482063, 5.3673175 59.4499112, 5.3708138 59.4522397, 5.3739882 59.4543663, 5.3792104 59.4578218, 5.3842677 59.4612176, 5.3883219 59.4639262, 5.3921655 59.4666714, 5.3965402 59.4697884, 5.4014513 59.4732981, 5.4043239 59.4753505, 5.4086249 59.4784217, 5.4119065 59.4807592, 5.4119924 59.4841833, 5.4120728 59.4875302, 5.4121694 59.4914894, 5.4122324 59.4940486, 5.4123102 59.4974571, 5.4123786 59.5001186, 5.4124443 59.5027921, 5.4125288 59.5060578, 5.4139893 59.5099132, 5.4154176 59.5136821, 5.4170155 59.5179179, 5.4188045 59.5226297, 5.4200377 59.5258928, 5.42171 59.5303141, 5.423031 59.5337924, 5.4247355 59.5382847, 5.4276136 59.5410035, 5.4306619 59.543877, 5.4327111 59.545817, 5.4352766 59.5477413, 5.4381533 59.5498871, 5.4444967 59.5546103, 5.4481217 59.5573095, 5.4535398 59.5613597, 5.4562314 59.5633715, 5.4597156 59.5659754, 5.4644269 59.5695091, 5.4682839 59.5718369, 5.473258 59.5748253, 5.4776488 59.577463, 5.4849753 59.585599, 5.4883133 59.5892895, 5.491493 59.5928003, 5.4932821 59.5971715, 5.4940492 59.5990229, 5.4951315 59.6016309, 5.496602 59.6052019, 5.4975294 59.6074889, 5.4986867 59.6103588, 5.5001787 59.6140391, 5.5013327 59.6168901, 5.5044495 59.6245324, 5.5069439 59.6306494, 5.50799 59.6331946, 5.5103879 59.6390484, 5.5120374 59.6430766, 5.5129239 59.6452468, 5.5143683 59.6487817, 5.5132605 59.6506601, 5.5103691 59.6555833, 5.5085345 59.6587004, 5.5055143 59.6638169, 5.503099 59.6679065, 5.5029622 59.6737089, 5.5028737 59.6773853, 5.5028079 59.6801744, 5.5026859 59.6849894, 5.5026215 59.6877353, 5.5025397 59.6913587, 5.5006045 59.6940749, 5.4993479 59.6958446, 5.4965088 59.6998393, 5.4953876 59.701406, 5.4925123 59.7046237, 5.4880786 59.7095725, 5.4861099 59.7117698, 5.4858181 59.7120859, 5.4615405 59.748165, 5.460543 59.749047, 5.456973 59.7499348, 5.4524173 59.7510624, 5.4480748 59.753337, 5.4464212 59.7555757, 5.4442097 59.7585437, 5.4415235 59.7621699, 5.4398605 59.7644094, 5.4374653 59.7676325, 5.4353544 59.7704624, 5.4300758 59.7738734, 5.425909 59.7765549, 5.4203367 59.779677, 5.4168673 59.7816095, 5.4163846154898065 59.782449464537805, 5.413107695518586 59.787236458639406)"
way/118231876-300,relation/13989591-300,300.0,1005.455,8426.62,Al/St 240/40 3-bundle 300.0,"LINESTRING (5.316238069958961 59.31761072325926, 5.32628054079448 59.31856637634402, 5.3383939 59.318165, 5.3418016 59.3180076, 5.3400998 59.3180869, 5.3381807 59.3224691, 5.3366196 59.3260352, 5.3343585 59.3311619, 5.3335404 59.3330212, 5.3349017 59.3351689, 5.3362374 59.3372509, 5.3376482 59.3394648, 5.3376831 59.3427521, 5.3377113 59.346368, 5.3377435 59.3496786, 5.337773 59.3539282, 5.3377877 59.3566126, 5.3378253 59.3609405, 5.3378454 59.3627756, 5.3378883 59.3675661, 5.3362763 59.3721202, 5.335784485603161 59.373513251233256, 5.334456378313149 59.3789266634663)"
NO2-420,NO1-420,420.0,1876.85,1912.89,Al/St 240/40 4-bundle 380.0,"LINESTRING (17.73434005390037 68.42580734830972, 17.738803913682133 68.4302228008591, 17.74427663142798 68.43791650745798, 17.7429803048289 68.44255425036224)"
NO2-420,NO1-420,420.0,1876.85,1883.34,Al/St 240/40 4-bundle 380.0,"LINESTRING (17.73434005390037 68.42580734830972, 17.73582247632487 68.43053168607258, 17.739843935648036 68.43815933026444, 17.7429803048289 68.44255425036224)"
relation/3993780-300,NO59-300,300.0,1005.455,35729.47,Al/St 240/40 3-bundle 300.0,"LINESTRING (7.065871500000009 61.10451489715958, 7.067899860518892 61.10012421252507, 7.0689277 61.0979007, 7.070005 61.0955647, 7.0720739 61.0910944, 7.0738421 61.0872598, 7.075489 61.0836804, 7.0770997 61.0801986, 7.0784938 61.0771753, 7.0801319 61.0736257, 7.0816286 61.0703769, 7.0827109 61.0680252, 7.0841908 61.0648122, 7.0853971 61.0621894, 7.0869943 61.0587085, 7.0881142 61.0562793, 7.0893896 61.0535065, 7.0911759 61.0510464, 7.0921884 61.049654, 7.093659 61.047622, 7.0956344 61.0449056, 7.0974647 61.0423823, 7.1008855 61.0406728, 7.1050993 61.038563, 7.1097422 61.0362453, 7.1160159 61.0331044, 7.1197964 61.0312124, 7.1243864 61.0289113, 7.1282494 61.0269816, 7.1311039 61.0255527, 7.1347511 61.0237268, 7.1388951 61.0216529, 7.1427058 61.019743, 7.1462229 61.0190422, 7.1525797 61.017779, 7.1583492 61.0166314, 7.1637243 61.0155623, 7.16942 61.0144264, 7.176043 61.0131107, 7.1818909 61.0119424, 7.1888418 61.0105561, 7.1945999 61.0094085, 7.2007582 61.0081709, 7.2075261 61.0075622, 7.2137468 61.0069944, 7.2194043 61.0064792, 7.2240123 61.0060599, 7.2284889 61.0056459, 7.2323459 61.0043548, 7.2383092 61.0023534, 7.2428575 61.0008275, 7.2485518 60.9989157, 7.2545949 60.9968863, 7.2587 60.9954987, 7.2647752 60.9942248, 7.2708256 60.9929498, 7.2769618 60.9916563, 7.2792336 60.9911793, 7.2877309 60.9885881, 7.2931208 60.9869256, 7.2978334 60.9856826, 7.3022859 60.9845111, 7.3090558 60.9827332, 7.3146375 60.9812643, 7.321408 60.9794853, 7.3262984 60.9781993, 7.3305175 60.9770887, 7.3353448 60.9758199, 7.3372833 60.9738678, 7.341257 60.9698741, 7.3448512 60.96626, 7.3473765 60.9637137, 7.3482482 60.9604296, 7.3491776 60.9568842, 7.3500486 60.9535313, 7.3504275 60.9506906, 7.3507628 60.9479894, 7.3503739 60.9445708, 7.3499702 60.9411395, 7.3495585 60.9377059, 7.3458932 60.9350094, 7.3424801 60.9324935, 7.3389973 60.9299253, 7.3353508 60.9272359, 7.3316239 60.9244929, 7.3286802 60.9223187, 7.3252617 60.9197976, 7.3224658 60.9177371, 7.3188043 60.915035, 7.315249 60.9124099, 7.3119653 60.9099904, 7.308058 60.9071093, 7.3065171 60.9045308, 7.3045725 60.9013085, 7.3029893 60.8986771, 7.3007128 60.8949026, 7.2983571 60.8909897, 7.2987065 60.8890604, 7.2992121 60.8862978, 7.3003775 60.8798654, 7.3005237 60.8782827, 7.3000791 60.8722185, 7.301199324213568 60.86796070052776, 7.301546250295709 60.862811152822616)"
way/546262597-300,NO58-300,300.0,1005.455,23285.71,Al/St 240/40 3-bundle 300.0,"LINESTRING (6.568989198760499 61.02070844338942, 6.568386624150746 61.025627603970975, 6.5688573 61.026853, 6.5741748 61.0308457, 6.5772077 61.0331226, 6.5819934 61.0367258, 6.587103 61.0405702, 6.5903833 61.0430448, 6.5956251 61.0469835, 6.5991092 61.0496114, 6.6028637 61.052431, 6.6058731 61.054695, 6.6093224 61.0586384, 6.6117525 61.0614211, 6.614719 61.0648317, 6.6142865 61.0673972, 6.6142631 61.067536, 6.6142409 61.0676665, 6.6138124 61.070183, 6.613512 61.071976, 6.6127288 61.0766023, 6.6121709 61.0799178, 6.6117257 61.0824911, 6.6112482 61.0853366, 6.6104704 61.0899453, 6.6131043 61.0916633, 6.6184312 61.0951445, 6.6221702 61.0975844, 6.6261613 61.1001874, 6.6293183 61.10226, 6.6316116 61.1029379, 6.6365468 61.1043947, 6.6432685 61.1063881, 6.6473615 61.1075907, 6.6511917 61.108726, 6.6565186 61.1103004, 6.6628942 61.1121781, 6.6685939 61.1138573, 6.6738027 61.1153966, 6.6790599 61.1161973, 6.6851646 61.1171301, 6.6905075 61.1179411, 6.6949546 61.1186225, 6.6997719 61.1193558, 6.7033178 61.1198973, 6.7071211 61.1204828, 6.7130917 61.121799, 6.7209721 61.1235503, 6.7271358 61.1249103, 6.7316902 61.1259206, 6.7371592 61.127129, 6.7404771 61.1278659, 6.7468876 61.1282311, 6.7527294 61.1285678, 6.7599124 61.1289693, 6.7675352 61.1294045, 6.7734951 61.129736, 6.776998 61.129938, 6.7841059 61.129104, 6.7885047 61.128586, 6.793912 61.127954, 6.7975411 61.1275292, 6.8020713 61.1269969, 6.806277 61.1269878, 6.8106115 61.1269722, 6.8151176 61.1269567, 6.8188673 61.1269463, 6.8237811 61.1279073, 6.8285394 61.1288372, 6.8328148 61.1296712, 6.8370366 61.1304923, 6.8429696 61.1316604, 6.847945482771928 61.13262984708348, 6.856514800000004 61.13429939716405)"
NO58-300,NO57-300,300.0,1005.455,5011.53,Al/St 240/40 3-bundle 300.0,"LINESTRING (6.856514800000004 61.13429939716405, 6.865460316580169 61.13542493718933, 6.939025241896554 61.140162576370784, 6.948259800000007 61.139891397164845)"
relation/13989591-300,relation/8864887-300,300.0,1005.455,22624.96,Al/St 240/40 3-bundle 300.0,"LINESTRING (5.316238069958961 59.31761072325926, 5.325776589004036 59.316243033794905, 5.334939 59.3154859, 5.342377 59.315175, 5.3465706 59.3159484, 5.3505027 59.3161324, 5.356421 59.3164062, 5.3619598 59.3166717, 5.3669702 59.3183408, 5.3719765 59.3200112, 5.3791863 59.3224082, 5.389264 59.3257577, 5.3952205 59.3277401, 5.3997454 59.3298676, 5.4064254 59.3330075, 5.4110704 59.3351895, 5.4154631 59.337253, 5.4197413 59.3392603, 5.4286757 59.3434557, 5.4355609 59.346688, 5.4411842 59.3493258, 5.4461879 59.3516722, 5.4499885 59.3534558, 5.4560637 59.3563063, 5.4601139 59.3582066, 5.4643048 59.360171, 5.471117 59.3618598, 5.4783609 59.3636504, 5.4830548 59.3650623, 5.4907528 59.3676508, 5.4931037 59.3673365, 5.4940318 59.3660207, 5.4960917 59.36312, 5.4975066 59.3610943, 5.4996215 59.3581519, 5.5009237 59.356361, 5.5007561 59.3543752, 5.5004194 59.35062, 5.5001472 59.3476446, 5.504019 59.3441731, 5.5066167 59.341831, 5.5104294 59.3383739, 5.5134261 59.3356696, 5.5144098 59.331809, 5.5098789 59.3278044, 5.5068165 59.3250995, 5.5038942 59.3225112, 5.5012697 59.3201857, 5.4991642 59.317315, 5.4970734 59.3144537, 5.4989979 59.3097864, 5.4997945 59.3078485, 5.5014843 59.3037497, 5.5026792 59.3008512, 5.5041289 59.2973308, 5.5054828 59.2940476, 5.5068567 59.2907131, 5.5065094 59.2882433, 5.5060273 59.2847541, 5.505802339529817 59.283081177598405, 5.505430665996321 59.27827213375187)"
way/295444099-300,way/120279477-300,300.0,1005.455,48306.69,Al/St 240/40 3-bundle 300.0,"LINESTRING (11.133257233221997 60.00540320377441, 11.139388495543137 60.011028062293335, 11.1395256 60.0122316, 11.1397777 60.0146955, 11.1400107 60.0168105, 11.1421725 60.01886, 11.144962 60.0214547, 11.1473653 60.0236915, 11.150018 60.0261814, 11.1539125 60.0269908, 11.1587405 60.0279985, 11.1652636 60.0293625, 11.171658 60.0295367, 11.1777681 60.0295153, 11.1817324 60.0295448, 11.1859971 60.0303165, 11.1919945 60.0313965, 11.1957067 60.0340599, 11.1996764 60.0369188, 11.2032545 60.0394854, 11.2059045 60.0413847, 11.2093538 60.0446367, 11.2125993 60.0476955, 11.2154746 60.0504112, 11.2187093 60.0534601, 11.2226281 60.0571594, 11.2258977 60.0602626, 11.2280488 60.0622892, 11.2307391 60.0648458, 11.2328888 60.0689084, 11.2346952 60.072308, 11.2364119 60.0755786, 11.2376726 60.0779522, 11.2391263 60.0807203, 11.2403762 60.0830895, 11.2424469 60.0870115, 11.2438524 60.0896679, 11.2454188 60.0926583, 11.2470549 60.0957688, 11.2485141 60.0985394, 11.2498605 60.1011039, 11.2515449 60.1042992, 11.2526232 60.1063579, 11.2541413 60.1092693, 11.2549299 60.1122633, 11.2555039 60.1144258, 11.2562978 60.1174541, 11.2572473 60.1210353, 11.2575477 60.1238839, 11.2578213 60.1264411, 11.258111 60.1291476, 11.2584597 60.1322988, 11.2602514 60.134675, 11.2616726 60.1364928, 11.2619144 60.1367879, 11.2640655 60.139539, 11.2667638 60.1429763, 11.2677455 60.1451768, 11.2688345 60.1476188, 11.2699181 60.150078, 11.2713611 60.1533766, 11.2728095 60.1566496, 11.2744886 60.1604614, 11.2755454 60.1628609, 11.2768918 60.1659221, 11.2784207 60.1692913, 11.279971 60.1728335, 11.2815535 60.176422, 11.2847882 60.179866, 11.2877601 60.1830403, 11.2900132 60.1854489, 11.2921804 60.1877586, 11.294058 60.1897747, 11.2969118 60.1928094, 11.2978828 60.1956278, 11.2991059 60.1990939, 11.3014072 60.202173, 11.3038319 60.2053958, 11.3056746 60.2078387, 11.3076407 60.2104653, 11.3094485 60.2128558, 11.3113314 60.2153554, 11.3137937 60.2186462, 11.3147753 60.2214571, 11.3162076 60.225629, 11.3177794 60.2282741, 11.3197643 60.2315929, 11.3214594 60.2344533, 11.323176 60.2373001, 11.3245386 60.2396008, 11.3273013 60.2442284, 11.3285029 60.2462517, 11.3305628 60.2502155, 11.3322473 60.2534921, 11.334216 60.2572635, 11.3355195 60.2597889, 11.3374561 60.2635116, 11.3379818 60.2672791, 11.3382822 60.2695006, 11.3386846 60.2725013, 11.3391137 60.2758688, 11.3396341 60.2797811, 11.3400793 60.2831559, 11.3382715 60.2872854, 11.3370323 60.2900957, 11.3357717 60.2929669, 11.3341463 60.2966672, 11.3329017 60.2995219, 11.3313353 60.3031125, 11.3304073 60.3070429, 11.3296133 60.3103975, 11.327666 60.3133818, 11.3258582 60.3161667, 11.3233155 60.3200689, 11.3212234 60.3232615, 11.3186485 60.3272213, 11.3167548 60.3301078, 11.3148451 60.333026, 11.3133109 60.3353969, 11.3131231 60.3392544, 11.3130265 60.3416249, 11.311444 60.3439501, 11.3095987 60.3466706, 11.3080484 60.3489531, 11.305975 60.3519969, 11.3044059 60.3543028, 11.3027859 60.3566802, 11.3010639 60.3592166, 11.2996101 60.3613602, 11.2958443 60.3632887, 11.2938219 60.3643233, 11.2913275 60.3655965, 11.28901 60.3666548, 11.2851477 60.3684027, 11.2822616 60.3697368, 11.2783295 60.37158, 11.2741479 60.3735226, 11.269784 60.3755525, 11.2654656 60.3775585, 11.2619948 60.3790499, 11.2560618 60.3817118, 11.2503755 60.3842675, 11.2431443 60.3871569, 11.242913715697703 60.38718505561655, 11.232323528249694 60.388173424242495)"
